work_id,author_first,author_et_al,institution_first,institution_et_al,title,source,pub_year,volume,issue,pages,doi,pmid,work_type,n_cits,n_self_cits
2770318113,Hal Colebatch,,,,Epitaph for a liberal,Quadrant,1993,37,10,88,,,article,0,0
4396381197,,,,,Occurrence Download,Global Biodiversity Information Facility,2023,,,,10.15468/dl.hqxu6q,,dataset,0,0
3024051674,Jeong-Bin Lee,Lee jun ho; Byun Jong In; Yun Ju Yong,,,Determination of Mass Attenuation Coefficient and Self-Attenuation Correction Using the CT Method,Journal of Radiation Industry,2018,12,3,177-182,,,article,0,0
4292780294,,,,,[GENERAL PROBLEMS OF ANTITUBERCULOSIS CARE TO CHILDREN IN MOSCOW].,PubMed,2010,,5,22-5,,27534036.0,article,0,0
2064234968,Insa Prochnow,P. Zark; Thomas Müller; Sven Doye,Carl von Ossietzky Universität Oldenburg,,The Mechanism of the Titanium‐Catalyzed Hydroaminoalkylation of Alkenes,Angewandte Chemie International Edition,2011,50,28,6401-6405,10.1002/anie.201101239,21630398.0,article,88,28
2747820246,Chen Lulu,Jie Hong; Ma Yanhong,,,帯押出薄膜減衰翼構造の動的応答解析及び試験研究【JST・京大機械翻訳】,Tuijin Jishu,2016,37,4,740,,,article,0,0
2559775510,Aida Abashawl,Colin Macleod; John Riang; Ferede Mossisa; Michael Dejene; Rebecca Willis; ...; Anthony W. Solomon,Johns Hopkins University,London School of Hygiene & Tropical Medicine; Sightsavers; Amhara Regional Health Bureau; Ethiopian Public Health Association; The Task Force for Global Health,"Prevalence of Trachoma in Gambella Region, Ethiopia: Results of Three Population-Based Prevalence Surveys Conducted with the Global Trachoma Mapping Project",Ophthalmic Epidemiology,2016,23,sup1,77-83,10.1080/09286586.2016.1247875,27918222.0,article,17,8
1540370426,Michel Barbeau,Nora Cuppens-Boulahia; Thierry Sans,,,Protection of Relationships in XML Documents with the XML-BB Model,Lecture notes in computer science,2005,,,148-163,10.1007/11593980_11,,book-chapter,8,3
985079713,林光恒,Liu Xing; 孙国琼,,,阻遏诱变剂镉在海洋生物中传递的物质及作用机理的研究（I）褐藻酸钠,癌变．畸变．突变,1996,08,1,1-005,,,article,0,0
4388835260,Collins Otieno Ogari,,Miami University,,"Review of: ""Prevalence of Buruli Ulcer Among Residents in Jasikan Municipality: A Cross-Sectional Study""",,2023,,,,10.32388/r99iwz,,peer-review,0,0
4291652903,Min Cheng,Dayu Jiang; Bolin Sun; Xingxi Chen,Chongqing University,,An Electrohydraulic Force Control System for Large-Scale Force Calibration,IEEE Transactions on Instrumentation and Measurement,2022,71,,1-10,10.1109/tim.2022.3198758,,article,3,0
2145380962,K. N. Venkatasiva Murthy,,Sri Krishnadevaraya University,,Hall effects on non-linear Hartmann-ekman layers,International Journal of Engineering Science,1983,21,7,841-845,10.1016/0020-7225(83)90068-x,,article,0,0
2337748131,Dario Manuel Mendez Cuadro,Dilia Aparicio Menco; Carmen González Gómez; Isis Gozález; Mauricio Ortiz,Corporación Universitaria Rafael Nuñez,,Riesgo de infeccion por el virus de la Hepatitis B en los estudiantes de medicina de la ciudad de Cartagena Colombia,Ciencia y Salud Virtual,2009,1,1,32-37,10.22519/21455333.156,,article,0,0
2800494922,Lubomı́r Adamec,,,,News in ecophysiological research on aquatic Utricularia traps,Carnivorous Plant Newsletter,2012,41,3,92-104,10.55360/cpn413.la328,,article,0,0
343659502,哲雄 岡堂,,,,家族力動学--夫婦・親と子と孫の関係 (親子関係を考える ),児童心理,1977,31,9,1756-1766,,,article,0,0
2759453394,Тодор Тодоров,,,,Устойчивост И Конкурентоспособност На Българската Икономика В Началото На Нейното Европейско Бъдеще,Economic Archive,2008,,2,1-22,,,article,0,0
2241721255,Josep Pla i Carrera,,,,El platonisme i la matemàtica: el tot i la part,,1994,,,275-290,,,article,0,0
2071842870,Erika B. Wiltenmuth,,Northern Arizona University,,Agonistic and sensory behaviour of the salamanderEnsatina eschscholtziiduring asymmetrical contests,Animal Behaviour,1996,52,4,841-850,10.1006/anbe.1996.0229,,article,18,0
2604773363,Maxime Farin,,Institut de physique du globe de Paris,,Études expérimentales de la dynamique et de l’émission sismique des instabilités gravitaires,,2015,,,,,,dissertation,4,3
4255867318,,,,,"Prophets, Viziers and Philosophers",,2021,,,,10.2307/j.ctv1gm00q6,,book,0,0
3217521360,Aju Putrijanti,,,,Peer Review_Karya Ilmiah_Prosiding_Syncronization Between Act of Governance Administration and Act Administrative Court to Develop Good Governance_Aju Putrijanti_C_7,,2020,,,,,,article,0,0
3121758249,Κωνσταντίνος Ανδρής,,,,20 χρόνια μετά την φούσκα του χρηματιστηρίου Αθηνών,,2020,,,,10.26267/unipi_dione/397,,dissertation,0,0
4221132456,О.G. Zhuikov,М.А. Melnyk,,,Oilseed flax in Ukraine is a crop of untapped opportunities,Taurian Scientific Herald,2022,,123,62-66,10.32851/2226-0099.2022.123.9,,article,1,0
2048720648,Myoung-Woo Yoo,Sang‐Koog Kim,Seoul National University,,Azimuthal-spin-wave-mode-driven vortex-core reversals,Journal of Applied Physics,2015,117,2,,10.1063/1.4905689,,article,16,0
4300606109,Amélie Favreau,,,,"Proposition de loi n° 786, du 19 juillet 2013 relative à l’accès à la procréation médicalement assistée aux couples de personnes de même sexe",HAL (Le Centre pour la Communication Scientifique Directe),2013,,,,,,preprint,0,0
2341760615,Nir Ailon,Gal Yehuda,Technion – Israel Institute of Technology,,The Complexity of Computing a Fourier Perturbation.,arXiv (Cornell University),2016,,,,,,preprint,1,1
2319456867,Joel Colton,Hans A. Schmitt; Don D. Humphrey,,,The Path to European Union: From the Marshall Plan to the Common Market,The American Historical Review,1963,68,4,1032,10.2307/1847279,,article,3,1
572711086,敬二 小沢,,,,ハード・アノダイズについて (〔航空機〕生産技術(特集)),日本航空宇宙学会誌,1974,22,243,180-181,,,article,0,0
4237301514,H. M. CAM,,,,Reviews of Books,The English Historical Review,1940,LV,CCXX,652-654,10.1093/ehr/lv.ccxx.652,,article,0,0
4292567521,Linda Martinez,Perley Rebecca; Alani Salim; O’Lawrence Henry,"California State University, Long Beach",,The factors associated with mental health and the impact of COVID-19,Journal of Community Medicine and Health Solutions,2022,3,1,048-053,10.29328/journal.jcmhs.1001019,,article,0,0
4397780882,Tomasz Rojek,Waldemar Goldeman; Katarzyna Ślepokura; Ewa Matczak‐Jon,,,CCDC 1966157: Experimental Crystal Structure Determination,The Cambridge Structural Database,2020,,,,10.5517/ccdc.csd.cc23zyfh,,dataset,0,0
2607996920,Kamil Gülşen,Sinan Varol; Fahrettin Katkat; Ertuğrul Okuyan,Bağcılar Eğitim ve Araştırma Hastanesi,,PP-103 [AJC » Diagnosis and Treatment of Valvular Hearth Disease] Metallic valve endocarditis complicated with extensive periaortic abscess,The American Journal of Cardiology,2017,119,8,e86,10.1016/j.amjcard.2017.03.220,,article,0,0
4399002312,Digital Archive Of Massachusetts Anti-Slavery,,,,petitions.xlsx,Harvard Dataverse,2015,,,,10.7910/dvn/tsd3v/3ntqbf,,dataset,0,0
1014854844,肖凤城,,,,构筑法律基石 固我钢铁长城——迟浩田同志谈《中华人民共和国国防法》,中国军法,2007,,2,4-7,,,article,0,0
2948663154,María Vanessa Macías Álvarez,Ricardo León Yepes Pérez,,,Análisis de la etapa de diseño de la política pública de desarrollo económico de Medellín 2017,,2018,,,,,,dissertation,0,0
4294306439,Seyed Mohammad Ardehali Zadeh,Ali Sadollah,Monash University,University of Science and Culture,Net-Zero Energy Building Using Metaheuristics in Melbourne City,Lecture notes on data engineering and communications technologies,2022,,,289-299,10.1007/978-981-19-2948-9_28,,book-chapter,0,0
4320487884,Ana N. Tibubos,Antonia M. Werner; Elmar Brähler; Golan Shahar; Mareike Ernst; Iris Reiner; Manfred E. Beutel,,,Depressive Experiences Questionnaire--Self-Criticism 4,PsycTESTS Dataset,2023,,,,10.1037/t87729-000,,dataset,0,0
1995295010,Philip Hallinger,,Mahidol University,,Instructional Leadership and the School Principal: A Passing Fancy that Refuses to Fade Away,Leadership and Policy in Schools,2005,4,3,221-239,10.1080/15700760500244793,,article,818,14
4396976980,Vladimir V. Chrishtop,Ivan V. Gaivoronsky; Л. М. Железнов; Аlexey I. Gaivoronsky; Alexey А. Semenov; Pavel S. Vydrin,S. M. Kirov Military Medical Academy,St Petersburg University; Federal Almazov North-West Medical Research Centre; Ministry of Health of the Russian Federation; Kirov State Medical Academy,Body type and morphological features of the human body organs: scientific review,Morphology,2024,161,4,77-86,10.17816/morph.627409,,article,0,0
2062943632,Paul D Eleazer,George S. Schuster; Dwight R. Weathers,University of Louisville,,A chemical treatment regimen to reduce bacterial contamination in dental waterlines,The Journal of the American Dental Association,1997,128,5,617-623,10.14219/jada.archive.1997.0261,9150645.0,article,15,1
2215552846,William L. Eisele,David Schrank; Michael D. Fontaine,Texas A&M University System,Virginia Transportation Research Council,Preparing for System Performance Measures and Target-Setting Requirements of the Moving Ahead for Progress in the 21st Century Act,Transportation Research Record Journal of the Transportation Research Board,2015,2529,1,1-9,10.3141/2529-01,,article,3,2
2916986597,Honoré de Balzac,Pierre Citron,,,La Rabouilleuse - Deuxième partie. Un ménage de garçon en province - I. Issoudun,,1966,,,253-267,10.15122/isbn.978-2-8124-1808-2.p.0253,,article,0,0
2744818885,Serdar Bulut,,,,GÜNEY-BATI (OĞUZ) GRUBU TÜRK LEHÇELERİNDEN AZERBAYCAN TÜRKÇESİ ÜZERİNE YAZILAN SÖZLÜKLERİN ÖZELLİKLERİ VE TANITIMI,the Journal of Academic Social Sciences,2017,51,51,328-363,10.16992/asos.12721,,article,0,0
3109712030,Elke Döring,,,,Molekulare Phylogenie der Hafer-Gräser (Poaceae: Pooideae: Aveneae),,2009,,,,10.25673/298,,dissertation,10,3
4398091242,R. Schuecker,Afrooz Zirakzadeh; K. Mereiter; Felix Spindler; Walter Weissensteiner,,,CCDC 868469: Experimental Crystal Structure Determination,The Cambridge Structural Database,2012,,,,10.5517/ccy4q4x,,dataset,0,0
1983382448,W. A. Kirk,,,,Fixed point theorems for nonexpansive mappings satisfying certain boundary conditions,Proceedings of the American Mathematical Society,1975,50,1,143,10.1090/s0002-9939-1975-0380527-7,,article,9,2
2888937895,Batsukh Dorjbal,Jeffrey R. Stinson; Chi A.; Michael Weinreich; Bahar Miraghazadeh; Julia Maria Hartberger; ...; Andrew L. Snow,Uniformed Services University of the Health Sciences,National Institutes of Health; National Institute of Allergy and Infectious Diseases; Australian National University; Canberra Hospital; University of Freiburg; ...; University of Washington,Hypomorphic caspase activation and recruitment domain 11 (CARD11) mutations associated with diverse immunologic phenotypes with or without atopic disease,Journal of Allergy and Clinical Immunology,2019,143,4,1482-1495,10.1016/j.jaci.2018.08.013,30170123.0,article,111,26
2418115507,John W. Fabre,,,,Is tolerance a prospective for clinical research?,Springer eBooks,1992,,,571-577,10.1007/978-3-642-77423-2_167,14621879.0,article,4,1
4312073798,Heesoo Han,Ji Hye Choi; Kyoung Min Lee,Korea Air Force Academy,Seoul National University Bundang Hospital,Interposition of posterior tibial tendon in tibiofibular syndesmosis in a bimalleolar ankle fracture: a case report,Acta Orthopaedica et Traumatologica Turcica,2022,56,6,412-415,10.5152/j.aott.2022.22098,36567546.0,article,1,0
263742845,Pohjola,Arjen P. Stroeven,,,"An ice-dynamical investigation of an ice-stream at Heimefrontfjella, Dronning Maud Land.",,1991,86,,123-126,,,article,2,0
4386476259,Э. Е. Сон,,,,1. Measurement of Flame Temperature by the Spectral-Line Reversal Method,,2012,,,,10.1615/978-1-56700-265-2.77,,book-chapter,0,0
2072919351,R. A. Ganeev,M. Baba; T. Ozaki; Hiroto Kuroda,The University of Tokyo,Institut National de la Recherche Scientifique,Long- and short-period nanostructure formation on semiconductor surfaces at different ambient conditions,Journal of the Optical Society of America B,2010,27,5,1077,10.1364/josab.27.001077,,article,40,10
2350223119,Ying Liu,,,,Study of Underwater Target Reflection Power of Collimated Green-blue Laser Beam and the Quality of Seawater,Chinese Journal of Lasers,2001,,,,,,article,0,0
4321636306,,,,,This Week in The Journal,Journal of Neuroscience,2022,42,46,8595,10.1523/jneurosci.twij.42.46.2022,,article,0,0
4235504474,,,,,,Photochemistry and Photobiology,1966,5,5-6,,10.1111/php.1966.5.issue-5-6,,paratext,0,0
1625166206,Edgardo Civallero,,,,Bibliotecología y Derechos Humanos: Una guía para el siglo XXI (Prólogo),,2008,,,,,,article,0,0
4256089234,Stéphane Le Floch,Frédéric Muttin,,,Index,,2020,,,181-185,10.1002/9781119801849.index,,paratext,0,0
1539621110,Pamela Roberts,,Regional Health,,Why should doctors get involved in medical administration?,PubMed,1987,137,8,754,,3651948.0,article,0,0
284151117,Kristen Kelekian,,,,"Appellate Division, Third Department, Encarnacion v. Goord",Touro law review,2014,21,1,6,,,article,0,0
2975979928,G. Minasov,Jasenka Matulić‐Adamić; Christopher J. Wilds; Peter Haeberli; Nassim Usman; Leo Beigelman; Martin Egli,,,RNA OCTAMER R(CCCP*GGGG) CONTAINING PHENYL RIBONUCLEOTIDE,,2000,,,,10.2210/pdb1g2j/pdb,,paratext,0,0
2170759059,Daniel Bowman,Luke Macaulay,University of Nevada Reno,,Comparative Evapotranspiration Rates of Tall Fescue Cultivars,HortScience,1991,26,2,122-123,10.21273/hortsci.26.2.122,,article,42,0
57913499,B Künnert,H Krug,Leipzig University,,The composition of cholesterol esters in fatty streaks and atherosclerotic plaques of the human aorta,Atherosclerosis,1971,13,1,93-101,10.1016/0021-9150(71)90010-4,5548459.0,article,21,3
4312742367,Nicole Casuso,Hugh Smith,University of Florida,,"Pest Identification Guides: Potato Aphid, Macrosiphum euphorbiae",EDIS,2014,2014,10,,10.32473/edis-in1056-2014,,article,0,0
2133057431,Masashi Suda,Toru Uehara; Yoshiyuki Aoyama; Toshimasa Sato; Masaki Kameyama; Masato Fukuda; Masahiko Morita,Gunma University,,64. Frontal lobe dysfunctions in eating disorder consist of two components: A near-infrared spectroscopy study,Clinical Neurophysiology,2009,120,5,e161,10.1016/j.clinph.2009.02.070,,article,0,0
2255911623,李志强,,,,让“同等条件下优先”更务实些,人才资源开发,2014,,1,91-92,,,article,0,0
2048589422,Reza Khorramshahgol,Mehrdad Tamiz,Kuwait University,,Using Taguchi method for post optimality analysis in MCDM,World Review of Entrepreneurship Management and Sustainable Development,2007,3,3/4,334,10.1504/wremsd.2007.014050,,article,0,0
4391629522,Alessandro Bortolotti,Caterina Padulo; Nadia Conte; Beth Fairfield; Riccardo Palumbo,University of Chieti-Pescara,University of Naples Federico II,Colored valence in a lexical decision task,Acta Psychologica,2024,244,,104172,10.1016/j.actpsy.2024.104172,38324933.0,article,1,0
83727169,Susan L. Crowley,Blaine R. Worthen,,,Review of The Time-Sample Behavioral Checklist,,1995,,,1068,,,article,0,0
2375397226,Junjie Lv,,South China University of Technology,,Research on Industrial Services and Service System,Huadong jingji guanli,2010,,,,,,article,0,0
4395440072,,,,,Occurrence Download,Global Biodiversity Information Facility,2022,,,,10.15468/dl.4dh8tx,,dataset,0,0
4306864336,Lalit Kanore,Priti Masatkar,,,A Case Study on Taxation in International Finance,Oxford University Press eBooks,2022,,,83-88,10.1093/oso/9780192869395.003.0009,,book-chapter,0,0
4240897916,,,,,IRS Finalizes Premium Tax Credit Rules Virtually Unchanged,Forefront Group,2017,,,,10.1377/forefront.20170725.061201,,dataset,0,0
166280930,Claire A. Tessier,Vance O. Kennedy; Eugene A. Zarate,University of Akron,Case Western Reserve University,Silane Dehydrocoupling Reactions Catalyzed by the Late Transition Metals,Springer eBooks,1991,,,13-22,10.1007/978-94-011-3214-5_2,,book-chapter,5,0
4249965289,,,,,"Serious cardiovascular toxicity is rare with sparfloxacin,",Reactions Weekly,1996,&NA;,615,4,10.2165/00128415-199606150-00006,,article,0,0
4230668821,Wendell Wallach,Colin Allen; Stan Franklin,,,Consciousness and Ethics: Artificially Conscious Moral Agents,Routledge eBooks,2020,,,299-314,10.4324/9781003074991-28,,book-chapter,1,0
1488115121,Manuel Sánchez González,,,,ELLA Spotlight on Knowledge: Spotlight on Publications: Participation in Development Projects Funded by International Financial Institutions,,2012,,,,,,article,0,0
4289382656,F. Brissaud,C Vinuesa; Cyrille Folleau,,,Optimising proof test policy of redundant safety-related systems,HAL (Le Centre pour la Communication Scientifique Directe),2018,,,,,,preprint,0,0
4236262990,,,,,Net income replacement rates for unemployment,Economic policy reforms,2017,,,,10.1787/growth-2017-graph171-en,,other,0,0
2331200837,Noni T. Larkins,Robyn M. Murphy; Graham D. Lamb,La Trobe University,,"Absolute amounts and diffusibility of HSP72, HSP25, and αB-crystallin in fast- and slow-twitch skeletal muscle fibers of rat",AJP Cell Physiology,2012,302,1,C228-C239,10.1152/ajpcell.00266.2011,21975426.0,article,31,6
2593766725,Hannah Rempel,,,,LibGuides: FW 506: Graduate Certificate Capstone: Getting Started,,2014,,,,,,libguides,0,0
2393759317,Chen Jun-guo,,Army Medical University,,Medical education reform from the perspective of educational quality,Northwest Medical Education,2004,,,,,,article,0,0
2074631637,Janet M. Hock,,Indiana University – Purdue University Indianapolis,,Discrimination among osteoblasts? Parathyroid hormone analog may reveal site-specific differences in mice,Bone,2000,27,4,467-469,10.1016/s8756-3282(00)00364-1,11033440.0,review,7,3
2115979541,Sylvia Bashevkin,,University of Toronto,,Rethinking Retrenchment: North American Social Policy during the Early Clinton and Chrétien Years,Canadian Journal of Political Science,2000,33,1,7-36,10.1017/s0008423900000020,,article,28,1
2531794225,Vera Arsi Sadewi,Bella Novitasari,,,MOTIVASI PENGUNJUNG WIHARA BUDHA PRABHA YOGYAKARTA MELAKUKAN RAMALAN CIAM SI,,2014,,,,,,article,0,0
2186573785,Fatima Mohammed Al-Shuhoumi,Hajer Mohammed Al; Khlood Nasser Alsubhi,,,"Original Article SENSORY EVALUATION, PHYSICO-CHEMICAL ANALYSIS & ESTIMATION OF INORGANIC CONSTITUENTS IN A VARIETY OF ENERGY DRINKS",,2015,,,,,,article,0,0
2350201228,Zhang Shu-y,,,,The Pre-qin Marriage History Research in the Last Two Decades,Journal of South China Normal University,2009,,,,,,article,0,0
2734676594,Željka Čorak,,,,"Word and Image in Tonko Maroević' ""Examples"" - Forty Seven Years Later",Radovi Instituta za povijest umjetnosti,2012,36,,21-22,,,article,0,0
4387607555,A. L. Asomugha,Benjamin Iheanyichukwu Nkem; Bede Azudialu,University of Pecs,,"Comparative Studies on Knowledge, Attitude and Practice of Health Workers towards Medical Waste Management in Two Developed Regions of the World",Asian Journal of Current Research,2023,8,4,10-23,10.56557/ajocr/2023/v8i48414,,article,0,0
567753257,Jay Ruby,,,,A Crack in the Mirror,University of Pennsylvania Press eBooks,1982,,,,10.9783/9781512806434,,book,282,3
2415337838,Takao Kobayashi,,,,[Habitual abortion and thrombosis].,PubMed,2002,43,6,459-63,,12134701.0,article,0,0
4387801880,Tianwen Zhang,Xiaoling Zhang; Zikang Shao,University of Electronic Science and Technology of China,,Saliency-Guided Attention-Based Feature Pyramid Network for Ship Detection in SAR Images,,2023,,,,10.1109/igarss52108.2023.10282085,,article,3,0
2048210810,Gianfranco Natale,Gloria Lazzeri; Valter Lubrano; Rocchina Colucci; Cristina Vassalle; Matteo Fornai; ...; Mario Del Tacca,University of Pisa,,Mechanisms of gastroprotection by lansoprazole pretreatment against experimentally induced injury in rats: role of mucosal oxidative damage and sulfhydryl compounds,Toxicology and Applied Pharmacology,2004,195,1,62-72,10.1016/j.taap.2003.10.006,14962506.0,article,65,6
4235125304,,,,,Emergence of a Multidrug-Resistant Pandemic Influenza A (H1N1) Virus,New England Journal of Medicine,2011,364,3,290,10.1056/nejmx100107,,article,5,0
2618443721,Hamedi Mohd Adnan,,University of Malaya,,Penerbitan-penerbitan Majalah Wanita di Malaysia Dekad 1980-an,,2014,2,2,,10.2121/susurgalur.v2i2.81.g82,,article,0,0
1164659744,戴红,,,,SJ3212—89《电子产品运输包装总技术条件》介绍,,1990,,3,33-36,,,article,0,0
2042124891,В. И. Салоутин,K. I. Pashkevich; I. A. Piterskikh; I. Ya. Postovskii,,,Photoreduction of copper salts of hydrates of fluorinated ?-keto acids,Bulletin of the Academy of Sciences of the USSR Division of Chemical Science,1981,30,10,1961-1962,10.1007/bf00963437,,article,0,0
632990619,David Guerrero,,,,David Guerrero(デイヴィッド・ゲレロ)/BBDO GUERRERO ORTEGA (PHILIPPINES) (特集 海外CMクリエイターMAP) -- (海外TOPクリエイティブディレクターへの10の質問),広告批評,2007,,319,76-78,,,article,0,0
241583782,朗人 小澤,栄二 矢野,,,G303 イサエアヒメコバチDiglyphus isacaのマメハモグリバエ幼虫に対する寄主体液摂取と卵生産との関係(寄生・補食・生物的防除),日本応用動物昆虫学会大会講演要旨,2001,,45,135,,,article,0,0
4252980473,,,,,,Pediatric Review International Journal of Pediatric Research,2017,4,2,,10.17511/ijpr.2017.i02,,paratext,0,0
2395093359,Lyne,,,,New Exhibition Will Let You ＂Taste＂ Paintings,,2015,,6,27-28,,,article,0,0
4239780557,,,,,SFA Editorial Board,Orthopaedics & Traumatology Surgery & Research,2009,95,8,iv,10.1016/s1877-0568(09)00186-8,,article,0,0
2373189426,Yanqin Li,,,,Advances of Microendoscopic Molecular Imaging Technique in Colorectal Cancer and Precancerous Lesion,Weichangbingxue,2010,,,,,,article,0,0
4254680829,Odetta Antico,Miratul M. K. Muqit,,,PROCEDURE TO ISOLATE AND CULTURE NEURONS FROM EMBRYONIC MOUSE CORTEX v1,,2021,,,,10.17504/protocols.io.bsr6nd9e,,preprint,0,0
2503632510,Herbert Hoyer,Zinnia F. Celestial; Modesto Chua; Wolfgang Hensel,,,Untersuchung über Bindungsfestigkeiten innermolekularer Wasserstoffbrücken in organischen Verbindungen,VS Verlag für Sozialwissenschaften eBooks,1972,,,,10.1007/978-3-663-19787-4,,book,0,0
4307594059,Elżbieta Korolczuk,,,,Chapter 5 WHEN PARENTS BECOME ACTIVISTS EXPLORING THE INTERSECTION OF CIVIL SOCIETY AND FAMILY,Berghahn Books,2022,,,129-152,10.1515/9781785335525-008,,book-chapter,0,0
277503830,Dale C. Heimgartner,Richard M. Foster,,,Perceptions of Vocational Agriculture Instructors Regarding Knowledge and Importance of Including Selected Agricultural Mechanics Units in the Vocational Agriculture Program.,˜The œJournal of the American Association of Teacher Educators in Agriculture,1981,22,1,57-62,,,article,1,0
4236261136,,,,,ANNEXE 4,Presses de l'Université du Québec eBooks,2018,,,769-774,10.2307/j.ctv5cgbxf.23,,book-chapter,0,0
3088273943,André Walker-Loud,,,,Hadron-Hadron Interactions in Lattice QCD,,2009,,,,10.2172/1999755,,article,1,0
2940885462,Gue-Dong Lee,Jong-Hoon Moon; Park Kyoungyoung; Young-Hun Kim,,,The effects of task-oriented circuit training on the upper extremity function and quality of life in chronic stroke patients,The Journal of the Korea institute of electronic communication sciences,2018,13,3,651-660,10.13067/jkiecs.2018.13.3.651,,article,0,0
2962765454,K. J. Carpenter,,,,PELLAGRA AND NIACIN BIOAVAILABILITY,De Gruyter eBooks,1987,,,145-146,10.1515/9783110854657-041,,book-chapter,0,0
1603606602,Rulph Chassaing,Donald Reay,Worcester Polytechnic Institute,Heriot-Watt University,G: TMS320C6416 DSK,,2007,,,561-566,10.1002/9780470238141.app7,,other,1,0
1616669521,Dongsu Bak,Sang Pyo Kim; Sung Ku Kim; Kwang‐Sup Soh; Jae Hyung Yee,,,Factorization and q-Deformed Algebra of Quantum Anharmonic Oscillator,arXiv (Cornell University),1998,,,,10.48550/arxiv.hep-th/9808144,,preprint,2,1
4982700,Ian Gold,Laurence J. Kirmayer,,,Cultural psychiatry on Wakefield's procrustean bed.,World Psychiatry,2007,6,3,165-6,,18188440.0,article,7,0
3149410455,純 柴山,弘法 村木; 潤治 山内; 久松 中野,,,光導波路解析のための陰的FDTD法の性能評価 (光・電波ワークショップ),電子情報通信学会技術研究報告,2006,106,186,205-210,,,article,0,0
2074163859,Susan F. Chipman,,,,Teaching Thinking/ About Thinking,Contemporary Psychology,1986,31,2,124-126,10.1037/024509,,article,0,0
4237773291,,,,,BLUE URINE.,JAMA,2001,286,4,392,10.1001/jama.286.4.392-a,,article,0,0
2522306319,Geert Dhaene,,,,Determinant of a skew symmetric matrix: solution 2,Econometric Theory,2001,17,1,277-278,,,article,0,0
