author_id,institution_seq,year_seq,year
5039021130,2,2,1997
5071893678,2,1,2024
5008520391,1,1,2024
5104037482,1,1,2023
5016998620,3,1,2023
5067351960,10,2,2003
5085525166,3,8,2012
5073465884,2,5,2020
5073530977,2,3,2015
5038580147,1,3,2018
5035291639,1,3,2019
5085582468,1,8,2017
5060299286,1,8,2017
5075574657,5,3,2011
5019207442,3,8,2015
5068889620,2,2,2021
5067262200,1,1,2012
5068970591,1,2,2006
5075219580,1,1,2016
5024341960,2,1,1965
5105833959,9,1,2017
5087522464,2,2,2012
5036814437,1,5,2019
5066797327,1,6,2018
5054863397,2,3,2008
5066349684,1,2,2022
5023745841,6,2,1996
5076022691,2,8,1983
5073646359,4,1,2013
5049070133,1,4,2021
5023144102,1,7,2018
5097500403,1,1,2021
5002917253,1,5,1992
5067139549,8,6,1988
5037767450,2,2,2017
5042299912,3,2,2009
5051431920,2,5,2004
5026199161,5,3,2007
5042968312,1,3,2022
5047293192,6,1,2018
5072795131,2,1,2024
5056861518,1,1,2016
5061021999,1,1,2021
5062046596,7,1,2011
5072843533,9,1,2022
5022757602,1,1,2024
5103002455,9,2,2013
5034470050,1,1,2016
5043536835,1,3,2019
5035298559,8,2,2018
5026590975,1,1,1997
5028413081,1,9,2015
5061589634,2,8,2013
5087781429,2,7,2016
5056686570,1,5,2020
5101926880,3,1,2024
5053114531,1,1,2018
5039753334,3,1,2009
5033824004,1,4,2009
5091848679,1,2,1980
5087260200,9,3,2008
5052160577,2,3,1981
5032899699,5,1,2018
5083908359,1,2,2022
5063801441,2,5,2000
5050489449,1,4,1990
5101652844,1,2,2022
5060877839,4,3,2012
5036012838,3,7,2012
5007504735,1,8,2011
5037954197,2,1,2013
5017496801,1,3,2022
5078585011,1,4,2021
5051839067,6,1,2019
5050353684,1,1,1979
5035724635,1,4,2015
5040027092,6,1,2016
5100411705,2,1,2021
5071218634,3,5,2018
5100655514,1,1,2024
5085102412,1,4,1942
5055950683,1,8,2017
5001770867,1,6,2019
5084286440,4,1,2018
5086498365,1,2,2016
5101095791,1,1,2023
5100278722,4,1,2020
5035436254,2,2,2010
5086298409,1,2,2022
5010727345,4,3,2015
5100394894,8,6,2015
5059325649,2,1,2009
5048856481,1,1,2016
5009696015,3,1,2021
5082961919,1,1,2020
5028114138,1,4,2015
5080552706,5,1,2010
5063691499,1,1,2022
5018237124,3,2,2006
5034928907,2,2,2013
5072157449,1,3,1998
5097210347,1,1,2024
5076577604,3,6,2018
5059731389,3,8,2017
5021379425,1,2,2024
5020375981,1,2,2023
5080339439,7,2,2003
5084164609,1,7,2016
5101859422,2,5,2020
5004120907,5,4,2007
5029010086,1,1,2024
5055823128,10,1,2022
5092619986,3,1,2023
5020392441,2,2,2011
5004996801,3,2,2022
5041649465,1,1,2013
5034921202,1,2,2017
5034660651,9,1,1980
5015159431,1,7,2015
5065784948,3,5,2018
5064135479,3,1,2024
5066166293,1,1,2024
5100433388,9,1,2024
5071919593,1,1,2017
5016590379,3,6,2015
5102315613,2,1,2018
5002018449,9,2,2018
5077033158,1,1,2024
5070816825,1,1,2024
5005664905,1,4,2011
5087162630,6,1,2022
5021807235,2,1,2017
5090588535,1,10,2010
5027985414,1,7,2017
5063654865,1,1,2023
5008349261,4,2,2017
5040744378,1,1,1999
5011970313,2,1,2022
5013942029,1,1,2022
5006519482,3,5,2019
5037365804,1,5,2016
5015940703,7,6,2010
5031584357,3,2,2001
5044722455,2,3,2021
5070015067,6,1,2005
5103804853,5,3,1999
5046074529,5,1,2020
5091140048,1,1,2017
5013844060,1,3,2001
5015853724,1,10,2014
5073595287,1,1,2022
5027040714,5,1,2016
5101756751,4,2,2020
5071981955,1,5,2014
5083824802,9,2,2014
5031942816,1,9,2016
5007614029,8,2,2014
5080295898,4,2,2018
5017232760,1,1,2021
5064026612,2,4,2009
5102011290,7,5,2008
5102013825,1,2,2023
5074019229,1,1,2008
5038093175,2,2,2023
5088676049,2,7,2014
5057378121,1,3,2020
5084063413,4,1,2020
5055049450,1,6,2015
5083653180,1,4,2020
5010897563,2,1,2019
5094823826,1,1,1828
5033645492,1,1,2021
5059519648,1,7,2009
5030981843,1,2,2014
5083733015,1,7,2000
5072461817,1,1,2023
5078673979,1,1,2023
5056666012,1,6,2009
5026186184,1,3,2022
5014003965,2,4,1998
5001322329,2,4,2021
5074795824,1,1,2024
5040600622,10,1,2016
5059177810,4,2,2011
5102901936,2,1,2021
5018717462,2,3,2005
5048566101,1,4,2021
5103736499,6,1,2014
5014760544,2,2,2019
5083045296,1,7,2018
5030957508,2,4,2007
5057948553,1,3,2014
5101875015,7,3,2019
5016130819,2,1,2024
5036712886,1,2,1996
5050336790,6,1,2012
5060576450,2,9,2003
5050321965,1,1,2024
5025310834,2,6,1980
5003871317,1,1,2002
5090068346,1,7,2018
5064604848,4,1,1981
5027893791,1,1,1990
5006941038,1,3,2012
5050067041,6,8,2007
5041159075,1,1,2013
5036693402,2,3,2021
5101428914,3,1,2022
5033111409,1,1,2011
5065757682,1,1,2016
5056507578,3,1,2016
5100356717,3,2,2022
5001059245,1,1,2023
5067776805,2,2,2009
5048998234,10,2,1999
5036002340,1,6,2011
5012983965,4,4,2012
5007810622,1,1,2024
5000924872,1,4,2015
5062759957,1,1,2023
5005355983,6,1,2013
5011219127,4,1,2022
5101915114,4,8,2014
5033631254,1,10,2014
5091374160,2,4,2020
5073805455,6,1,2014
5020058793,1,1,2008
5074059793,5,1,2014
5083786390,1,1,2022
5101879014,8,4,2019
5076104382,8,1,2016
5089194848,1,2,2022
5104084092,1,1,2023
5066335565,1,4,2010
5080951914,1,1,2013
5090655014,1,1,2014
5065682098,3,1,2023
5054034616,4,1,2024
5039303886,1,1,2024
5002736319,1,1,2021
5022600415,10,1,1984
5047725535,1,1,1999
5088939496,1,1,2017
5035575178,1,1,2022
5001397235,2,1,2016
5058265595,3,1,2023
5101188926,1,2,2022
5018495659,2,1,2010
5102316220,1,1,2022
5023785747,1,2,2016
5041059260,1,4,2021
5100342031,3,1,2024
5103507872,2,7,1999
5016206013,5,1,1990
5019253638,1,1,2009
5014761332,1,1,2012
5009347837,2,2,2022
5081281888,5,1,2024
5092767216,1,1,2023
5066906876,8,1,2012
5060591354,2,4,2018
5021407180,7,6,2009
5057407525,1,1,2015
5041666407,2,1,2016
5055444903,1,2,2023
5077858430,3,1,2015
5089546647,4,8,2010
5028383129,10,1,2003
5055660944,5,2,2016
5009189196,2,2,1991
5088705237,3,4,2017
5027255666,8,1,2019
5020722004,1,7,2015
5101400453,1,1,2023
5075419176,8,3,2020
5001165415,1,1,2013
5091506918,2,4,2021
5022105720,2,4,1987
5017552978,4,3,2019
5015573848,7,1,2009
5070936336,1,1,2017
5031889540,2,1,2011
5053833383,1,1,2024
5052619623,2,1,2011
5103925112,8,1,2010
5042884093,5,7,1996
5004436865,1,2,2021
5020414530,1,1,2022
5015002483,8,4,1999
5007557727,1,1,2021
5034848691,2,1,2001
5011363744,8,9,2011
5033912773,1,6,2019
5051069761,1,1,2021
5010165866,5,1,2024
5062991993,3,1,2023
5035672577,2,1,2015
5101424744,8,1,2020
5033340533,2,3,2007
5051901205,3,1,2023
5031331014,6,2,2009
5033186805,1,1,2017
5013019158,2,3,2014
5100992980,1,5,2013
5065517507,1,1,2022
5055143201,4,5,2016
5052397789,2,10,2015
5032147925,5,1,2015
5091793143,1,4,2019
5016534936,3,1,2008
5066825026,1,4,2020
5051955668,1,1,2023
5102457825,5,2,2019
5011085225,1,1,2022
5072824815,1,1,2023
5082172220,1,1,2022
5024754985,8,6,1996
5101348290,1,1,2024
5029389666,2,4,2001
5053910261,1,7,2018
5008247931,2,6,2019
5042447314,2,9,1996
5102830699,1,1,2022
5008576503,3,4,2014
5103914531,2,1,2012
5006445574,6,1,2019
5075144752,2,3,2009
5040964262,8,1,2020
5052810483,2,1,2024
5046835587,1,2,2023
5102458065,3,1,2023
5023378522,1,1,2023
5032460782,3,3,2022
5073510082,1,4,2021
5100685835,2,1,2024
5049016819,3,1,1984
5039810634,2,1,2023
5067713265,1,2,2023
5005315915,7,3,2011
5070327475,2,2,1992
5103444518,3,5,2016
5055596240,1,4,2011
5053068569,1,1,2006
5087103615,1,10,1995
5022918796,6,4,2000
5063969168,1,1,2023
5002088171,1,8,2011
5044778759,7,3,2010
5025078641,2,1,2000
5059190438,1,1,2009
5106553910,4,1,2019
5027686100,1,2,2020
5051341467,6,3,1999
5066828969,1,1,2019
5062249695,1,2,2023
5040718162,9,2,2010
5062069239,1,5,2016
5049682214,1,2,2018
5068801456,1,4,2018
5037071990,3,1,2016
5058371740,1,3,2010
5077220703,2,3,2021
5020414100,1,1,2017
5004892561,1,1,2024
5015363834,2,4,2006
5005719528,1,1,2010
5071968251,1,4,2021
5062321658,2,8,2017
5035191442,4,3,1990
5018655486,1,10,2010
5053667433,10,1,2013
5027484565,2,1,2015
5101988505,6,8,2013
5088292807,1,1,2017
5016713181,2,2,1973
5039716504,1,1,2018
5027014654,4,3,2017
5075370022,8,7,2002
5025939033,1,2,2023
5024298648,1,1,2024
5029897626,1,4,2021
5106258215,1,1,2024
5019897533,1,2,1995
5040461926,1,4,2018
5051446807,1,6,2017
5075139478,1,3,2014
5032029878,1,2,2023
5045774650,5,1,2001
5054115649,2,7,2017
5038431175,2,1,2006
5102138603,6,3,2004
5028263739,2,3,2021
5020507676,1,1,2020
5032456171,2,1,2008
5091798834,3,7,2007
5068514582,3,1,2009
5039836517,6,1,1990
5072608383,5,2,2021
5075110438,3,1,2024
5035026964,4,1,1976
5027058032,9,7,2013
5002926914,2,2,1993
5101701119,5,2,2022
5002305002,1,1,2024
5044376821,1,1,2003
5034400983,1,1,2022
5028616130,6,1,2022
5006337891,1,4,2018
5065895211,2,6,2018
5051856782,4,1,1993
5072839114,3,1,2023
5072550256,1,6,2019
5082898872,2,3,2014
5041996869,1,2,2023
5069233123,1,1,2022
5031179797,3,3,1972
5045027600,2,6,2013
5034975094,1,1,2020
5075222976,2,5,2015
5106033733,6,2,2019
5039803894,1,1,2005
5064141572,1,4,2021
5006134353,1,1,2023
5000878447,10,1,2002
5038286175,1,1,2023
5042336898,4,1,2009
5022550573,1,4,2020
5086928183,6,1,1995
5015168272,1,7,2018
5058723455,1,2,2018
5051598320,1,1,2023
5090570768,1,3,2022
5006627586,3,1,1996
5046373673,2,1,2022
5075267633,2,1,2020
5089191214,1,2,2023
5019578208,1,4,2019
5071384239,2,1,1998
5028389781,6,3,2004
5015764558,4,2,2007
5057256001,2,4,2021
5061278363,2,2,2013
5089310937,2,1,2015
5045103417,2,1,2017
5053646810,1,1,2022
5077057308,2,2,2021
5000265622,8,8,2006
5021332027,1,7,2014
5046001180,1,1,2024
5040999171,1,3,2021
5032061965,1,4,2019
5029487484,1,1,2006
5033458539,9,9,2009
5004245612,2,2,2002
5013006975,9,1,2003
5009019606,8,2,2023
5012899296,1,1,2020
5022985284,3,1,1996
5010473860,1,3,2022
5020477057,1,1,2021
5033526628,2,2,2017
5000150507,2,2,2020
5048830947,4,1,2021
5011536371,6,1,2013
5058108933,1,4,2020
5035449212,3,1,2023
5021745308,2,5,2016
5056898478,1,7,2018
5019602075,3,5,2013
5085160064,1,1,2021
5101727615,2,2,2017
5067907252,1,1,2021
5101635256,4,1,2020
5015693491,1,1,2021
5103372695,3,3,2001
5079991319,2,1,2021
5058342961,3,5,2009
5052482024,1,1,1999
5013081585,1,6,2012
5035869348,8,1,1984
5088563106,3,2,2011
5038365064,2,4,2015
5090498818,1,1,2021
5021152665,1,1,2015
5043121955,1,3,2010
5032966797,2,1,2024
5038943435,1,4,2020
5103492046,2,1,1988
5012866443,2,10,2013
5067794760,4,1,2000
5034177273,3,6,2011
5059770145,1,2,2020
5082601257,1,3,2022
5067682036,3,1,2009
5024693082,4,2,2013
5047651619,1,1,2022
5032380079,2,4,2008
5056080007,1,1,1958
5100687670,3,1,2023
5072190832,1,7,2012
5008882407,1,4,2020
5078931102,1,1,2023
5003255242,1,5,2018
5063079244,4,1,2016
5041430934,1,1,2022
5052486412,4,3,2017
5043051548,1,2,2023
5046097551,8,1,2023
5086372175,1,3,2016
5037626036,3,1,1986
5022461493,2,1,2000
5014295233,6,4,2010
5026270468,1,3,2022
5035535816,2,3,2022
5073602725,8,1,2011
5030784440,1,5,2020
5050561342,1,1,2019
5068097193,1,4,2020
5000833379,1,7,2017
5036302841,1,1,1955
5053593219,1,3,2020
5095385531,1,1,1985
5100599977,3,2,2022
5088747581,1,3,2006
5056755146,3,1,2016
5036408940,1,3,1996
5004102974,1,1,2004
5013579057,1,1,2019
5064872807,1,1,2024
5006699770,3,4,2011
5000131942,1,2,2023
5102445270,1,1,2023
5002099966,1,1,2019
5101200435,3,1,2014
5052881820,1,1,2021
5036114106,3,1,2015
5062267549,2,1,2012
5062581354,1,4,2009
5097303620,1,2,1982
5071251590,1,1,2022
5076877750,1,1,2010
5064450661,1,1,1977
5010996157,4,1,1988
5043849896,1,1,2020
5087222592,1,3,2020
5051468892,1,1,2022
5061952101,2,10,2013
5064094408,3,7,2015
5042828349,3,2,1999
5101991210,1,1,2023
5089516594,2,4,2018
5014621875,1,2,2020
5083052126,1,1,2015
5057792234,1,1,1985
5025306441,6,4,1990
5088174722,7,1,2023
5106707981,6,1,2020
5030545937,4,7,2016
5003855058,3,1,2008
5083111162,3,1,2013
5016166651,4,1,2021
5058403529,1,6,2010
5103013431,1,3,2020
5028564843,2,1,2018
5089769583,1,2,2009
5049287723,1,6,2018
5058752880,3,1,1994
5079273731,5,1,2010
5091680813,1,3,2019
5038593855,1,1,2019
5017595492,2,5,2018
5037256184,2,1,2010
5000636575,1,1,1981
5101773813,3,2,2022
5036327278,1,2,2022
5063890567,2,3,1976
5005023159,1,1,1998
5067148739,3,3,2011
5077946645,6,6,2011
5030132364,5,3,1994
5009444630,1,2,1987
5015784211,1,3,2022
5047564087,9,2,1987
5053869227,5,1,2005
5102760533,1,7,2010
5080576339,1,9,2016
5098915965,1,1,2024
5014163135,1,1,2024
5051129170,2,1,2024
5083362216,1,1,2023
5015940805,1,6,1985
5073969357,1,1,2013
5071257468,3,3,2003
5099733967,1,1,2024
5035871070,1,2,2023
5030949775,3,1,1998
5006813674,2,1,2021
5071779416,1,2,2002
5100371578,3,2,2023
5083761182,4,1,2008
5094984000,1,1,2019
5100718618,4,8,2017
5044626501,2,5,2017
5079660395,5,1,2007
5002928163,3,1,2022
5053645984,3,3,2013
5025286323,3,2,2000
5057389566,1,1,1977
5030677851,8,1,2022
5001715105,4,4,2007
5070301462,4,2,1995
5001433684,2,2,2016
5077822610,1,1,2022
5032316731,2,2,2019
5047219323,1,6,2015
5057305681,1,1,2022
5036641304,7,1,2015
5069951985,2,5,2020
5103563199,1,1,1997
5100779762,7,3,2006
5005744868,2,3,2019
5046896345,9,2,2009
5063899890,1,8,1996
5029618719,1,1,2006
5007183673,2,1,2011
5096808426,2,1,1993
5086407105,2,2,2005
5007802460,2,3,2022
5103075603,6,3,2018
5101733942,9,1,2020
5083594141,2,3,1991
5103725189,1,1,2022
5001431051,5,2,2020
5009216732,1,2,2021
5056988114,1,4,2020
5016368631,1,4,2021
5071787950,10,1,2015
5023235503,1,1,2022
5100667069,7,3,2020
5095251415,1,1,1999
5081312384,1,3,2021
5076753467,1,5,2019
5088021936,2,2,2004
5066055722,6,1,2018
5090766944,2,3,2022
5025282708,1,10,2008
5019441549,1,2,1989
5000720212,2,1,2002
5086449516,6,1,2021
5041179297,1,5,2018
5064692124,1,1,2002
5058745174,2,1,2014
5095328684,1,1,2023
5089832522,1,3,2022
5045739725,5,7,2011
5078246603,2,3,2003
5012840149,1,1,2022
5055134495,1,5,2018
5065987693,2,1,2018
5001480103,7,2,2018
5006460391,2,3,2021
5103155621,1,6,2009
5093872116,1,1,2024
5040667419,3,1,2023
5071974753,1,2,2009
5033570222,1,2,2014
5074700834,1,8,2003
5062562493,1,1,2018
5060463736,1,1,2023
5030096019,2,1,2020
5082744171,3,6,2005
5086348618,1,1,2017
5041888824,3,1,2015
5035446080,2,1,2008
5043510807,2,3,1994
5048732290,8,2,2002
5101579177,1,4,2020
5089781934,1,4,2000
5023323320,1,1,2019
5075136563,8,5,1997
5035866400,2,2,2021
5087804555,1,1,1995
5087626882,1,1,2022
5065928649,4,2,2015
5013602751,2,5,2020
5004585666,1,1,2022
5023954505,2,2,2017
5013507722,9,1,1999
5020315919,2,1,1990
5086990759,2,1,2015
5079883340,2,6,1983
5079278330,5,3,1998
5037220014,6,4,2010
5044908912,1,1,1970
5035812004,7,1,2023
5063515129,10,1,2006
5077842746,1,9,1977
5092851327,1,1,2023
5069274410,2,2,2010
5070142279,1,5,2018
5049866319,2,3,2016
5016450783,1,4,2018
5087248310,2,1,2019
5012706726,2,2,1944
5027196809,1,5,2019
5088492416,4,6,2006
5090953674,7,4,1961
5036059873,3,1,2013
5055643651,1,1,2019
5053613966,3,5,2020
5040621713,1,9,1984
5100762234,1,3,2021
5094399708,6,1,1923
5036178280,1,3,2019
5009474484,1,1,2018
5057573300,1,1,1964
5003819033,3,1,2022
5025902783,10,1,2014
5015105280,1,7,2018
5069121594,4,1,2019
5075825538,4,1,2022
5055960196,1,3,1990
5024590116,2,3,2016
5060858797,5,1,1993
5025245810,1,5,2015
5028514592,7,1,2011
5062964637,10,1,1993
5070927304,4,1,2024
5062128178,4,1,2017
5053757899,3,10,2013
5088891566,1,3,2014
5075720738,1,3,2018
5037777470,1,1,2016
5100450560,6,2,2022
5102611288,1,1,2024
5081017417,2,1,2010
5009905057,1,3,2022
5010589246,7,6,2002
5017850406,3,1,1973
5067800417,3,4,2013
5041406986,1,8,2004
5025578036,2,8,2006
5074388408,1,1,2016
5038350434,2,2,2020
5070947356,4,1,2020
5024452289,3,1,2023
5030429310,1,4,2020
5001379026,1,6,2011
5051275653,1,2,2014
5087156433,1,7,2018
5057328289,1,2,2006
5103577723,2,1,1988
5047804390,1,9,2014
5083668493,2,1,1944
5034804291,1,4,2021
5056444063,1,2,2006
5046029715,1,3,2019
5080426031,2,2,2023
5051458470,1,1,2003
5100645211,8,1,2017
5033118742,2,1,2020
5044913708,3,2,2019
5016150318,9,1,2023
5068372867,1,1,2009
5078487748,2,9,2016
5051527663,2,1,2019
5029316067,1,9,1977
5076077284,6,5,2005
5021563176,4,1,1998
5043676017,1,1,2006
5089267924,8,6,2005
5068487177,1,3,2022
5085742847,1,3,2022
5100399482,2,1,2023
5077444152,1,5,2004
5070437972,6,2,2023
5024963847,1,3,2012
5046858370,2,3,1997
5085723234,1,1,2017
5049682942,4,2,2020
5036480046,6,1,1996
5040226690,1,1,2017
5033530873,2,2,2020
5056707474,1,1,1999
5008083284,1,1,2023
5064291558,1,1,2024
5037645425,3,1,2023
5103226104,4,4,2013
5103651842,1,1,2011
5030831134,5,8,2007
5080654910,1,6,2017
5073314449,1,1,2021
5080153561,7,2,2022
5100615408,3,9,2013
5024808966,3,1,2011
5049640683,2,1,2024
5093310109,2,3,2020
5079873917,1,1,2023
5058862833,1,1,2020
5021124511,1,1,2017
5089781750,5,1,2021
5094629216,1,1,2021
5091644674,1,6,2019
5060117130,1,3,2021
5059060233,1,2,1997
5050614114,1,1,2004
5019018250,1,2,2023
5072615952,8,6,2008
5004775489,1,6,2019
5032404954,7,1,2016
5069457476,1,1,2024
5010913991,5,1,2018
5000663728,6,1,2012
5020613114,1,8,2017
5101544114,3,9,2011
5102575261,1,4,2013
5019961280,2,6,1993
5106215598,1,1,2024
5037079013,4,9,1986
5062091516,2,2,2013
5053789604,4,2,2002
5102201368,5,1,2017
5081971934,3,3,2013
5101716406,1,1,2024
5015782539,1,1,2008
5048306814,1,1,1993
5063963537,1,3,2021
5103817833,1,4,2016
5013877225,2,1,2019
5102726632,7,3,1995
5030818202,1,4,2021
5048621555,1,1,2023
5046732953,4,5,2017
5054328117,3,1,2024
5066146051,3,2,1997
5067272625,7,3,1997
5103012477,5,1,2021
5072263914,1,1,2013
5037066065,8,9,2010
5037962016,1,4,2020
5046917879,1,1,2015
5078818890,1,2,2023
5001940887,3,2,2013
5012933316,6,1,2011
5035966256,2,1,2011
5083614841,4,1,2013
5044478388,1,3,2022
5086011161,3,5,2018
5056857481,4,1,2014
5064476221,1,2,2014
5075905199,1,1,2007
5075868606,1,1,2022
5062317991,2,6,2014
5054695506,1,8,2008
5100353778,7,1,2023
5100446009,1,7,2008
5064443399,3,1,2023
5054460813,1,1,2021
5029857536,1,1,1980
5065296011,1,1,2019
5008327456,1,1,2008
5084457999,1,1,2023
5021258967,3,1,2006
5022393792,3,3,2014
5059687476,10,7,2005
5031663459,2,3,2008
5029470208,3,4,2014
5101527822,1,5,2017
5091828097,1,10,2014
5056484180,1,3,2021
5044081315,5,1,2011
5062971025,1,2,2020
5076748465,6,1,2013
5075204922,1,7,2016
5070998680,1,2,2022
5017420534,3,1,2019
5049308275,4,1,2012
5038149043,3,2,1989
5023115187,1,2,2021
5051502971,1,1,2000
5004055589,2,1,2013
5073960823,7,1,2011
5066295998,1,4,2019
5103527954,3,1,1983
5027574802,1,2,2020
5002981160,1,1,2015
5057231414,1,2,2023
5067771884,2,1,2019
5011417155,1,1,2014
5056025199,2,1,2020
5027253595,1,3,1999
5048126960,2,5,2016
5069029089,8,2,1971
5015058757,6,2,2016
5023266555,7,1,2004
5043531075,3,3,2015
5009638729,2,8,2007
5076243488,1,3,2022
5046099138,1,1,2002
5034203762,1,3,2017
5101747329,2,4,2010
5029035876,6,1,2016
5015969762,1,3,2020
5103010842,1,5,2016
5080664768,1,1,2022
5013139648,1,5,2003
5090016023,2,1,2022
5078286277,7,2,2019
5063743958,2,4,2021
5091448695,8,1,2024
5081490289,5,2,2023
5013338240,1,10,2014
5018211821,8,1,2015
5103428758,6,1,2015
5097831083,1,1,2016
5061156556,1,4,2016
5083911935,2,1,2015
5057050001,4,1,2021
5100354893,7,1,2008
5066428076,4,3,2018
5101711316,2,1,2024
5102739810,1,1,2024
5058776771,3,2,2021
5087686710,5,4,2006
5070165503,2,1,2022
5088533242,4,1,1990
5051770024,9,2,1992
5019178382,7,2,2020
5062305482,2,1,2024
5073016877,1,2,2022
5077152747,5,2,2018
5036663330,1,1,2020
5101503626,4,1,2012
5100386629,4,1,2022
5034922397,1,1,2007
5084644518,1,1,1931
5084523366,1,5,2017
5061935880,1,4,2020
5003732809,2,4,2019
5060988817,1,1,2021
5098545555,1,1,2001
5017673492,1,5,2019
5085672628,2,2,2023
5049682957,1,3,2020
5092188651,1,2,2023
5045833986,3,1,2012
5072324158,2,2,2020
5100371191,1,4,2020
5074427870,3,2,2013
5018502342,2,3,2022
5086921954,3,4,1998
5018711013,1,1,2024
5061333208,3,1,2020
5011055058,1,4,2021
5027172081,1,3,2012
5083848765,4,5,2017
5093700162,1,1,2022
5005798019,4,1,2022
5027107748,1,1,2022
5007532693,2,1,1979
5003034222,5,2,2012
5031981303,1,2,2021
5088791641,1,1,2021
5086499881,1,5,2019
5060370336,1,3,2022
5003304547,2,4,2021
5052048627,2,9,2016
5000221186,3,1,1988
5006992577,1,1,2022
5020466266,1,7,2016
5049435062,3,1,2010
5058306742,1,3,2000
5042092984,7,1,2022
5017749040,4,1,2022
5094780636,4,1,2023
5012217506,1,1,2016
5052830633,1,3,2022
5086266633,5,6,2016
5070300943,1,1,1988
5049696539,5,4,2019
5052463809,1,2,2023
5029198054,1,1,2013
5024981683,1,5,2020
5076175710,1,2,2006
5009668028,2,1,2019
5002863058,1,5,2010
5034640481,4,1,2015
5033626510,10,5,2012
5011762698,1,1,2014
5051110858,2,8,2016
5074674905,2,3,2013
5036889376,2,5,2019
5072475100,3,4,1999
5029454125,1,3,2013
5058844682,10,1,2010
5074923316,1,8,2017
5054408976,1,5,2019
5021019607,6,2,2022
5100765850,1,2,2020
5068812513,2,2,2022
5039361070,1,4,2016
5069347149,1,2,1979
5015416478,2,2,2017
5068708536,1,9,2015
5007267269,6,1,2024
5042450876,2,1,1995
5048997287,5,1,2013
5015638760,1,3,2007
5082707355,1,3,2020
5105415630,1,1,2013
5013104317,10,1,2017
5083676591,2,1,2022
5005206865,1,1,2008
5022028163,3,3,2010
5076735449,2,1,2008
5030712587,5,2,2005
5020022450,1,1,2021
5073543438,1,3,2022
5007608947,2,1,2000
5086971507,1,1,1979
5101601997,4,2,2015
5077272109,3,1,2022
5034028953,1,2,1993
5067349104,1,1,2022
5084700908,3,5,1982
5053278665,1,2,2023
5040826518,6,4,2020
5085463988,2,1,2021
5100617985,3,1,2023
5101712720,1,1,2023
5101824847,6,1,1998
5018941843,10,1,2019
5028316300,2,1,1957
5069336521,2,1,2019
5063270515,1,1,2024
5057164658,2,2,2002
5074555308,1,1,2019
5100222631,3,1,1991
5006424579,9,2,2015
5080641364,1,4,2019
5022927618,1,6,2019
5063643447,1,3,2017
5032232309,1,5,1995
5079350946,5,1,2004
5024635554,1,1,2024
5030548113,2,1,2013
5087080194,1,1,2022
5085240709,1,7,2014
5033945885,10,2,2022
5065154157,3,1,2020
5019945476,2,1,2023
5089027376,6,1,2023
5005795448,1,2,2006
5087188701,6,1,2014
5006965803,1,6,2011
5031815410,3,2,1997
5076207127,1,4,2021
5013719565,5,4,1996
5000326895,1,3,2022
5055365791,1,1,1990
5105676123,8,7,2006
5041720493,4,5,2016
5044957039,7,2,2019
5030649790,2,1,2022
