source_id,alternative_title_seq,alternative_title
29165506,3,"Zeitschrift für die Erzeugung von Holzstoff, Zellstoff, Papier und Pappe, Chemische Technologie der Cellulose ; Zeitschrift des Vereins der Zellstoff- und Papier-Chemiker und -Ingenieure, der deutschen Zellstoff- und Papierfachverbände ; amtliches Organ der Papiermacherberufsgenossenschaft"
4220651117,6,Pacific Earthquake Engineering Research Center report
4210206909,2,Proceedings of the Royal Society of Tasmania
2764403496,1,AMHP
4210208094,9,Материалы Международной практической интернет-конференции «Актуальные проблемы науки»
177487720,2,P2PNA (Print)
4210231510,1,Documentos de trabajo (Proyecto para el Estudio Sociolingüístico del Español de España y de América)
4210201413,1,GesR (Köln. Print)
4210240741,2,Èkonomika stroitelʹstva i prirodopolʹzovaniâ. Sbornik naučnyh trudov akademii stroitelʹstva i arhitektury
4210187324,1,Almaktabah
4210202908,1,IJESM
4210173558,1,RES
4210221994,2,International journal of aging & society
4210232698,2,Illinois Natural History Survey bulletin
4210234444,2,"Philosophy, theory, & practice in biology"
4210194271,2,IJABE
4210186078,4,Functional foods and nutraceuticals
159765434,1,Tijdschrift voor Nederlandse Literatuurgeschiedenis en voor Literatuurwetenschap
4210213467,1,Minzokugakushi
2736711728,2,Slowakische Ethnologie
4210208208,1,Le tourisme dans les pays de l'OCDE. Tendances et politiques
4210186641,1,ARAD
2739294006,2,Gênero & Direito
4210185460,2,Bibliografía internacional de ciencias históricas
4210181992,4,SIAM j. sci. and stat. comput
4210214000,1,American Chemical Society applied bio materials
4210189916,1,Energie-Recht (Berlin. Internet)
99517592,2,Philosophical transactions of the Royal Society of London.
4210183665,1,Jurnal ilmu budidaya tanaman
4210214142,1,MIRoR
4210205242,1,World Scientific and Engineering Academy and Society transactions on mathematics
4210201204,2,Space science and technology
4210220230,1,Journal of Education Science
4210228162,2,Journal of veterinary laboratory research
2764612587,2,Journal of English education
4210235987,1,JEAMM
4210187467,2,Collection ISTA
4210191888,1,Politische Bildung
4210183534,2,Internet journal of ophthalmology and visual science
29730349,2,Institute of Transportation Engineers journal
117995063,5,Journal of the American College of Cardiology. Cardiovascular interventions
4210202054,1,Insurance law review
4210191229,2,SENJOP
4210228405,1,"Collection ""Rural History in Europe"
4220651487,2,"Bulletin of the Polytechnic Institute of Jassy. Section IV, Machine construction"
4210223258,3,Lupine online journal of pharmacology & clinical research
4210182086,1,Zeitschrift für Urologie und Urogynäkologie in Klinik und Praxis
4210200427,2,Journal für Oberflächentechnik (1991. Print)
4210221371,1,JHR
38696330,3,KZfSS (Print)
4210217706,3,Infusion and chemotherapy
4210224012,3,Organisational transformation & social change
2764701878,1,Journal of the Mineralogical Society of Japan
4210237898,1,JHEPGC
4210214993,1,Sport journal
4210175140,3,Contributions to game theory and management. Collected papers presented on ... International Conference Game Theory and Management
4210221647,2,Media+environment
4210225068,1,Journal de linguistique arabe
2764732809,1,JCTH
2738668253,1,Revista lexis
4210183969,1,Ecobisma
43368104,4,Journal of the Japanese Society of Mycotoxicology
4210185835,2,Current issues of Ukrainian linguistics: theory and practice
4210172544,1,Proceedings in advanced robotics
77748030,3,Archives of mathematics
4210212773,2,JPGR
2764364248,1,Gülhane medical journal
4210229270,1,Études économiques de l'Organisation de coopération et de développement économiques. Royaume-Uni
4210175750,1,Dynamics and vibroacoustics
106296714,32,Programming and software engineering (Online)
4210177061,4,Ìnternauka
2764743255,1,AKMMC journal
4210194554,1,EID
4210217133,4,Mathématiques et sciences humaines (En ligne)
4210189340,2,Les Cahiers de l'Équipe «Monde arabe Méditerranée» (En ligne)
4210207714,6,Automatisierungstechnische Praxis-Edition
4210220188,2,"Proceedings of The Symposium on Sports and Human Dynamics : Supotsu, ando, hyuman, dainamikusu koen ronbunshu"
2898520932,1,Urgenze
4210222573,2,Arthritis and rheumatism
123979729,1,BMC
4210176412,1,HESSD
71414007,1,CMI
4210239681,1,Budìvelʹnì materìali virobi
4210227332,1,Sensors and diagnostics
4210205023,1,Agrobiodiversity
4210215858,2,Humanized computing and communication
4210231113,3,Journal of the Japanese Coral Reef Society
4210232163,1,Journal of International Area Studies
4210213740,2,Virology and AIDS
154127250,1,Pflanzenbau
4210201686,2,"Histoire des sciences et technologies canadiennes, bulletin"
161439912,1,Coordination chemistry
4210236188,1,Software Systems and Computing Methods
4210183616,4,Nova Acta Científica Compostelana (Internet)
4210232349,2,Ouvrages de mathématiques de la SMC (Internet)
980367387,2,Revue canadienne d'études néerlandaises
4210232412,1,"Collection ""Oxalis"""
2764530970,1,JSR
4210209740,2,Filosofskie issledovaniâ
4210176099,1,Vestnik Harʹkovskogo nacionalʹnogo universiteta imeni V.N. Karazina. Seriâ Èkologiâ
2764364151,1,"Journal of the Instrumentation Control Association, Japan"
71935151,1,Acta physiologica
4210200825,1,Journal of New Zealand and Pacific studies
40639465,2,Intelligent automation & soft computing
4210191589,1,British Journal of Anaesthesia open
4210223777,3,Family & community medicine
4210184635,1,ELK Asia Pacific journal of marketing and retail management
4210200436,1,Revue internationale de l'économie sociale
122671983,2,Theory and event
4210173624,2,Sociedad Española de Estudios de la Comunicación Iberoamericana 2000 (Internet)
1009874106,1,Mezhdunarodnye protsessy
4210197976,1,Frontier materials and technologies
4210212701,1,IJSMOC
4210191816,1,IJAREF
4210198670,1,Jurnal Kajian Ekonomi dan Keuangan Syariah
4210185289,1,Korea Journal of Economics and Business
2754582794,1,Bull Johns Hopkins Hosp
4210167961,1,Journal of nineteenth-century visual culture
160239940,1,CTR
4210235184,1,Media komunikasi ekonomi dan manajemen
114377761,2,JAIC online
4210169384,1,Texila international journal
16563193,1,JPHSR
94821547,1,Computers and graphics
4210174736,2,Zeitschrift für Parlamamentsfragen (Print)
69429964,1,Mich. L. Rev
2764902357,2,IJBSR
4210221736,1,DHCR
114466708,2,Stratigraphy
94520284,2,Journal of psychosomatic obstetrics & gynecology
4210236259,1,Higher education politics and economics
158724626,5,Official publication of Tokushima University Faculty of Medicine
49310527,2,"Bulletin of the Peabody Museum of Natural History, Yale University"
4210215739,1,Jurnal Ilmu Politik
4210177781,1,Dinamika Masalah Politik Dalam Negeri & Hubungan International
2764651703,1,Health & hospital
4210213566,1,Erkexue (Yingwen)
26812206,1,"Bollettino del Comitato glaciologico italiano, ser. 3"
4210225913,2,Max Planck Institute studies on intellectual property and competition law (Print)
4210233820,1,Nihon kikai gakkai keisan rikigaku koenkai koen ronbunshu
4210174586,1,Jurnal pendidikan guru sekolah dasar
62796702,2,J. softw. maint. evol.: res. pract
85516562,1,Bulletin de la Société de pathologie exotique et de ses filiales
4210188416,1,AGLO
49415658,2,Applied magnetic resonance (Print)
35405154,2,Journal of African Ornithology
4210195843,4,Journal of nephrology and renal therapy
2739273011,1,Ethnologia actualis. Revue pre výskum kultúr etnických spoločenstiev
4210204703,1,"Studi geografi, penelitian sekolah dan pembelajaran"
4210235098,1,JEE
70307536,2,JMB (Print)
68556063,1,Journal of enhanced heat transfer (Online)
4210167466,2,Jurnal Teknik Sipil
1042784588,2,Administrative law & practice
4210207949,1,JHOA
2764380666,1,Control and Decision
2764422174,1,QRT
4210216727,2,The Far Eastern Federal University: School of Engineering bulletin
154078021,1,JMM
4210169068,3,"Conference on Virtual Environments, Human-Computer Interfaces and Measurement Systems"
4210218626,1,JDLE
4210186389,3,Rheumaplus (Wien. Print)
30253980,1,IJPS
4210183955,1,Jurnal Ilmu Kesehatan Masyarakat
4210205726,1,Scandinavian journal of thoracic and cardiovascular surgery
192729060,2,Historische Sozialforschung (Cologne. Print)
4210189028,3,CRD
4210172931,1,Journal of governmental and nonprofit accounting
4210212179,2,Electronic journal of extension
4210208320,1,Journal of agricultural and environmental law
4210187988,5,Exlibris
4210212477,1,"Structured, Transparent, Accessible, Reproducible protocols"
2765076144,1,Die aktuellen Top-Studien - kommentiert  & komprimiert
2765012372,2,Open journal of safety science & technology
4210203154,1,AStat
4210206222,2,Sci Public Aff Bull At Sci
120629676,1,Institute of Electrical and Electronics Engineers signal processing letters
2764928018,1,SEAJPH
107181468,1,"Journal of accounting, auditing and finance"
4210184164,1,Jurnal Pengabdian Pada Masyarakat
204975207,3,Epidemiologic perspectives and innovations
4210206172,2,DJPH
4210170730,1,Proceedings - Indian Academy of Sciences. Animal Sciences
4210221696,1,IJTHRS
2752332675,6,Croatian medical review
4210215182,1,"Media, Business, Culture"
4210195983,4,Gabler Edition Wissenschaft. Betriebswirtschaftliche Forschung zur Unternehmensführung
4210234081,3,RP & P
4210193925,2,Mens en maatschappij
4210225993,3,Vìsnik DDMA
4210192212,1,IPP
2764772208,1,RT & S
4210177441,1,RSH journal
4210192781,9,"Mémoires présentés par divers savants à l'Académie des inscriptions et belles-lettres de l'Institut impérial de France. Première série, Sujets divers d'érudition"
116051058,1,New directions for program evaluation
4210189905,3,The journal of Japan Society for Laser Surgery and Medicine
4210182309,1,Philosophy of religion
4210233678,1,Sociedad y medio ambiente
88044396,1,APESM
2312674,1,"Journal of trauma : injury, infection, and critical care"
4210170874,1,EPA newsletter
4210179852,4,Inozemni movy
4210220509,1,Studies on neotropical fauna
4210171635,1,Ruthenica. Russian malacological journal
4210189687,1,Jostrauma
4210182367,1,ABRIJ
106821438,2,Journal of the Korean gastric cancer association
4210174432,5,Proceedings of the European Solid-State Circuits Conference
200748917,1,EBDs
4210221208,3,Sbornik naučnyh trudov Ukrainskogo gosudarstvennogo universiteta železnodorožnogo transporta
36793815,3,NJC
4210225219,1,FHA
2736793855,1,Gms. German medical science
2764527250,1,Journal of health care law and policy
2764769526,1,Journal of the Society for Research in Asiatic Music
4210202796,1,Organisation for Economic Co-operation and Development series on adverse outcome pathways
4210185304,1,Mağallaẗ al-'arabiyyaẗ li-l-'ulūm wa-al-handasaẗ (2011. Print)
202064188,1,CCQ
2092408,2,CRQ
4210233755,1,Māori and indigenous journal
4210236401,1,Indonesian journal of food research
4210198975,1,Jurnal Pengabdian pada Masyarakat
4210174947,1,Studies of Japan
42848612,1,IJDMMM
4210177628,1,Vestnik of Saint Petersburg State University of Culture
4210187037,5,Mitteilungen der DFG (Print)
1024009979,4,ZNW
136120998,1,WIREs.
4210192155,1,Nippon Gakushiin Kiyo
2755256265,3,Contemporary long-term care
4210181834,2,Electronics & communications in Japan.
4210235712,1,NCSP global journal of public health
4210183616,3,Nova acta científica compostelana
2764838981,1,Soviet journal of communications technology and electronics
4210236713,1,IJ21CE
4210238048,1,Clinical and Experimental Hepatology
2764729094,1,IJCA
4210217878,2,Teaching & learning anthropology
5603941,1,Il Nuovo cimento. Nuova serie
4210187354,2,Useful : online journal
2764346048,1,DJIM
112652565,2,JPP ; an international journal of the Italian Society for Plant Pathology
4210231606,1,"Majalah Fakultas Hukum Universitas Mataram ""Jatiswara"""
183158886,1,MMWR
4210212783,1,Nuova serie
4210168193,1,Insan Jurnal psikologi dan kesehatan mental
2764367134,1,Journal of Koreanology
4210230414,1,Interventional cardiology
4210196854,1,Jurnal Ilmiah Bidang Keagamaan dan Kemasyarakatan
33792061,1,Archiv für Philosophie und Soziologie. Abt. 1
4210213031,1,Comparative Japanese studies
4210192576,1,Physical Education Research Journal
4210222872,5,I.R.E. transactions on antennas and propagation
4210183178,1,Journal of Service Learning
2737708854,1,"Apparatus - Film, Medien und digitale Kulturen in Mittel- und Osteuropa"
4210224510,1,Gates Open Res
185756478,1,The German journal of economic geography
4210201964,4,Practical applications of Institutional Investor journals
207734429,1,"Physikalische Medizin, Rehabilitationsmedizin, Kurortmedizin. Sonderheft"
4210174752,2,International Journal of Social Sciences
2764712995,1,Journal of allergy and therapy
4210190076,1,Organisation for Economic Co-operation and Development development assistance peer reviews
4210184380,1,International Shari'ah Research Academy for Islamic Finance international journal of Islamic finance
4210170982,1,Engineering science and tecnology journal
2764574566,2,JNP
4210233143,1,Security & privacy
4210212194,1,UTJMS
4220651779,1,LDJ
4210174737,1,Journal für Mathematik-Didaktik (Print)
4210228610,1,Journal of ITA
4210224633,1,Zhongguo kexue.
4210183333,1,IRENE - Interdisciplinary Researches on Ethics and Natural Environment
4210221569,1,International Council on Archives: ICA handbooks series
2764928144,2,Journal of educational foundations
4210177288,1,Cuadernos de extensión universitaria de la Universidad Nacional de La Pampa
4210192449,2,Conference Proceedings
2764498754,4,Field guides
2764878150,1,Engineering geology (Tokyo. 1960)
4210219417,2,MSiM
4210179790,1,Cuadernos prácticos de empresa familiar (Internet)
4210192980,2,Jurnal Fisafat Agama dan Pemikiran Islam
24688465,1,"Physica. A, Statistical and theoretical physics"
4210194399,2,Rachunkowość finanse
4210176043,2,Jurnal Psikologi dan Keislaman
4210171711,1,InformaTics and Mathematics web of conferences
4210174949,3,Physica status solidi. C (2006. Print)
4210224658,1,Studies in Polish Literature
2764428184,1,Automobiltechnische Zeitschrift extra (English ed. Print)
4210176118,1,Religions
2764371252,1,Romatoloji arşivleri
4210173488,1,Jurnal Ilmu Administrasi Publik
60561668,2,PTR
131540492,6,Annales de la Société Géologique de Pologne
100554201,4,JIT
203405392,1,"Mental health, religion and culture"
4210171770,1,TPA&C
4210232802,1,Jurnal Studi Islam dan Kemasyarakatan
4210204123,1,New Ukrainian law
4210187210,1,Jurnal pendidikan dan pembelajaran sekolah dasar
4210169610,1,PAG
4210179494,2,JEECE
4210236420,1,AAA
122476552,2,Energy materials: materials science & engineering for energy systems
2739316617,2,Neurology
141356220,1,Crustacean biology
4210213183,1,Juridical science
4210171668,1,Jurnal ilmu Islam
2503215148,2,WIREs.
172027730,2,Public Library of Science currents
4210219248,1,JAST
2764893654,1,History and social science teacher
4210194495,2,Korean accounting journal
4210230123,1,Library news
149516416,1,Journal des matériaux nucléaires
2764499911,1,Korean Social Policy Review
2765042875,1,IJEEEE
57862637,1,Housing economics
4210187142,1,Bulletin
47646119,2,Journal of polymer science.
4210184555,2,Jurnal kesehatan STIKes Buleleng
2764664221,1,CCO
50260976,1,Ultraschall in der Medizin (Thieme. Internet)
4210198160,2,AFP
152134104,2,Addiction science and clinical practice
4220651171,1,Journal of management and organization studies
2911231532,2,Journal of the JSTP
4210180218,1,IJDSGBT
4210196549,2,Organisationskommunikation
52059345,1,Health psychology
4210204257,1,JEMS
2737075480,1,The Education and science journal
4210211934,1,Journal of the health technology assessment
4210168481,1,CCNEU
4210212280,1,JBMRT
4210210201,7,Via @
70010600,1,ICS
157188123,1,Slavic military studies
4210211321,1,Journal of internal medicine. Science and art
167427362,1,Sri Lanka (Print)
2764484140,4,JNBNA
4210169566,1,Mémoires de la Société mathématique de France
4210195728,1,International economy and management
4210180920,2,North American Spine Society open access journal
29606632,1,Archiwum Hutnictwa
4210214225,2,Vestnik
91430365,1,Surfactants and detergents
4210237586,1,IJRSE
2764702973,1,AJPAC
4210216166,1,Psi Beta journal of research
4210196968,1,Jurnal Ilmu-ilmu Agribisnis
2764483063,1,daehan cheonggak hakoeji
2751907510,1,Acta Ophtalmologica Slavica.
4210240373,1,Computer Research and Development
4210190165,1,Vestnik AGTU. Seriâ: Rybnoe hozâjstvo
2736861456,2,Journal of Faculty of Arts and Social studies
2764607555,1,JACCOA
4210189124,1,ALT
4210207851,1,Jurnal Filsafat dan Teologi
8788103,1,PTO
4210214595,1,Teaching cases
4210187549,1,Research in Comparative Politics
4210173038,1,Journal de physique. IV
2764880913,2,Psychology
4210205107,2,Journal of the Chemical Society. Perkin transactions 1 (2000).
4210185287,1,Bulletin de liaison - APELA
4210196940,1,NJMLM
4210226377,2,Rany i ranevye infekcii
2764926913,1,IJAAA
4210197897,1,Juridical sciences and education
4210231974,1,J. Lumbar Spine Disord.
2764813624,2,Basic Research in Computer Science research series
4210197022,2,Journal of preschool and primary education
4210197682,1,Polymeric foams
4210187386,1,OJID
4210240663,1,Open access journal of pulmonary and respiratory sciences
4210172978,1,B.a.
4210174744,1,PhilosophyㆍThoughtㆍCulture
207478012,1,IDAQP
144268762,5,daehan jeonhaejil hyeorab hakoeji
2738183683,1,JAUMS
4210184727,1,LGTS
4210193353,1,Jurnal pendidikan
202580180,1,Japan focus
4210195242,1,innovation & I-O technique
2764865053,2,Nurse's Association of the American College of Obstetricians and Gynecologists' clinical issues in perinatal and women's health nursing
4210203973,3,ASp (Bordeaux)
4210178083,1,Zaŝita i karantin rastenij
2764895092,1,Journal of Aeronautical Materials
26640217,1,American journal on mental retardation
4210178637,2,Applied questions of mathematical modeling
4210204870,2,"Jurnal Pendidikan, Kewarganegaraan, Hukum, Sosial, dan Politik"
4210172256,1,"Bioteknologi, proses, pangan, lingkungan"
2898275119,1,Pulmonology journal
2764525526,2,Revue de communication professionnelle
4210173428,2,Shipbuilding & marine infrastructure
963759008,1,Studia Leibnitiana (Print)
4210236973,1,CiE
2764901196,1,A.B.A.J.
4210232526,1,MRA
4210201071,1,Journal of Indonesian Islamic Family Law
4210179902,1,Health & interprofessional practice
4210240812,1,International Society for Microbial Ecology communications
4210188228,2,Jurnal teknologi busana dan boga
4210228466,4,Policy studies yearbook
4210181307,1,British medical journal open ophthalmology
4210202843,1,National University of Modern Languages journal of critical inquiry
4210174712,1,Computational methods in engineering and the sciences
4210237362,2,P45 data collective
4210217018,1,Jurnal Ilmu Studi Ushuluddin dan Filsafat
105501033,2,Lakes and reservoirs
4210174307,1,"Arbeit, Gesundheit, Unfallversicherung"
21432770,1,J Dermatolog Treat
101490220,1,Institute of Electrical and Electronics Engineers transactions on rehabilitation engineering
4210180051,2,Jurnal Penelitian Papua dan Papua Barat
4210190552,2,Innovación y sustentabilidad
4210183156,1,Revista Sitientibus. Série Ciências Físicas
2737187798,1,Cancer urology
4210181133,1,"Jurnal kajian islam, pendidikan, budaya & social"
2764745121,2,Journal of public relations
4210226565,2,Jurnal hukum
2898123265,3,Revista europeia de direcção e economia da empresa
4210169534,1,Alustath
4210198561,1,ACRVM
4220651177,4,ACE
149192262,2,BPEJ
147292462,1,International journal of microcirculation
144119502,1,Text and talk (Internet)
43283086,2,Early development and parenting
4210205961,2,"Journal of Applied Sciences, Mathematics, and Its Education"
2737823951,1,Relieve. Revista electrónica de investigación y evaluación educativa
4210208582,1,Journal of Endocrinology & Diabetes
80098175,1,SUFFREC
4210167950,1,Online review
4210189679,3,Specialist periodical reports.
4210234608,3,Künstliche Intelligenz (Bremen)
185605772,1,Hepato pancreato biliary
46726892,1,EJNM
200668369,3,In vitro cellular & developmental biology. Plant (Print)
4210198526,2,Biological diversity and conservation
177334458,1,J. Investig. Psych. Offender Profil.
4210241058,1,IJEE
4210172045,2,Islom Ziyosi
4210227527,1,Internal Security Review
2764858203,2,JMU
2736885300,2,Journal of linguistics and english teaching
4210175391,1,JSDR
4210188754,3,The journal of Islamic Dental Association of Iran.
4210190995,1,"Bulletin du Muséum national d'histoire naturelle. Zoologie, biologie, et écologie animale"
170809390,1,JMM
164201770,1,Institution of Engineering and Technology software
54616614,1,Nettai kenkyū
4210206981,1,Mélanges - Institut dominicain d'études orientales du Caire
4210190250,1,Vienna journal on international constitutional law
4210238776,1,Journal of nursing & health studies
4210173330,1,Review of economics and statistics for regional studies
4210209893,1,Mongol sudlal
2764886163,1,EJIS
4210200142,2,JSF
4210230977,1,Naučnye trudy (NIPI Neftegaz)
2765052085,4,Communications and electronics
4210169414,1,Revue des sciences et de la technologie
4210240585,1,American Geophysical Union advances
4210232959,1,Prace Etnograficzne (Online)
4210205454,1,GFT
4210176120,3,Biotehnologiâ: sostoânie i perspektivy razvitiâ
4210189600,2,OCTE
4210234236,3,AIEL series in labour economics (Print)
4210189916,4,ER (Berlin. Print)
4210217611,3,Mechanika
4210185775,1,Revista de investigaciones artísticas
4210240257,1,"Informatik, Forschung und Entwicklung (Print)"
85366182,2,Climate change strategies and management
4210186558,1,EJE
