concept_id,language_code,concept_international_name
52233224,vi,Fermion
2994514548,kk-arab,ساياسىي ۇستانىم
3019981671,en,Controlled release
172338258,tr,RR Lyrae değişeni
3018637965,hu,fogászat
37210646,cs,feritový magnet
2780472037,pl,tropikamid
2778489163,si,2 cඔඋම්පොඋන්ඩ්ස් ෆොර් ටිටනිඋම්
2985487447,si,ක්‍ෂණික පණිවුඩකරණය
2994599422,zh,畜牧业
185874996,sr,теорија система
2910057982,es,rehabilitación neuropsicológica
2992394223,ko,우라늄 광업
2777377174,csb,Słuńcowi Ùstôw
2993075180,fr,Welfare
550479007,cdo,Lò̤-mā Dá̤-guók
2778135664,zh-hans,开放型经济
94523657,tr,Ad Hoc Ağı
2779821442,ie,Parnassius apollo
3017884845,sn,Côte d'Ivoire
2779214877,en-ca,Chloroauric acid
2779430813,tr,Fusarium oxysporum
114825156,zh-hant,反對稱理論
2781325985,hu,Levamizol
67805463,war,Iskultura
2778323267,de,DRADA
2908580079,kk-cyrl,Гематолог
2777018398,sh,Diopsid
2777943237,vi,Thoát vị hoành
2994497548,sr,Аеросоли
2781221326,pt-br,Ericaceae
2991844076,ia,chloro
117647685,en,critical radius
2779291864,vi,Rhodospirillaceae
112109800,es,ovoide
2992260121,en-gb,deck
2776819417,nn,dimetylfumarat
2779377163,zh-hans,光延反应
95803793,nan,Kiông-beh-khu̍t-chéng Iá-seng Tōng-si̍t-bu̍t Kok-chè Bō͘-e̍k Kong-iok
136674465,eu,upel elektrolitiko
2779717098,ca,cosmètica
2986689482,en,load profile
2776391639,fi,CDH1
2779949491,zh-sg,中暑
2776190662,as,বাঢ়ৈটোকা
2781240137,eu,diskografia
2777346864,ru,циклогексиламин
24276413,zh,矩阵群
70522964,zh-hk,開放式最短路徑優先
2779707754,fr,Bifidobacterium breve
2778677506,fr,zone de fracture
131857375,pt,equivalente
2993835690,tr,sömürgecilik
2991957519,en,Thermodynamic versus kinetic reaction control
82605166,pt,Gráfico de funil
87355193,sgs,astrobioluogėjė
2779971977,bg,Парична маса
161677786,ky,аймак
2991920864,hi,सामुदायिक रेडियो
2778770122,sv,Netto
2777439173,en,post-dural-puncture headache
13681960,tr,Kaçak sera etkisi
2777742739,ja,バラ科
65871279,mg,Inner membrane
6557445,sr-ec,агрономија
46031176,hu,Mágneses elhajlás
2780635549,en,"Niemann–Pick disease, type C"
2778439535,ru,амиды
2779760147,ro,Simpatolitic
62085286,pt,Informática de Materiais
120934525,ar,انحراف
3019116470,uk,гастроскоп
2910530303,pl,Rybia łuska
157097347,cs,Mathieuova funkce
2908609012,an,Lawsonia intracellularis
107457646,ca,interacció persona-ordinador
2780676250,fr,vitamine B12
2909011841,fr,Désoxyribonucléotide
2776661782,sr,Juvenilne spondiloartropatije
3018715393,th,เบาหวานระหว่างตั้งครรภ์
199539241,ro,drept
197685441,en,PSPACE
2984590833,ky,чычкан
3019666574,pa,ਯਿਨ ਅਤੇ ਯਾਂਗ
2779739782,cy,amrinon
2776539918,war,Plasmodium malariae
2776937108,ta,குறுக்கங்கள்
135310875,az,Fiord
2992051107,eo,Daktilopalmo
2779458340,ko,판새아강
2780652833,ja,灰重石
2777328355,sv,feromon
120373497,nb,Parallell algoritme
2910569719,eu,Desmodus rotundus
3018468719,az,qəsəbə
2776953305,kab,Tinefra
153782549,it,spazio discreto
101139013,fa,شیست
523496792,ko,성찬
171543561,fr,effet lotus
3017560507,ca,homocisteïna
2781431781,fa,پرکردن دندان
176293985,hu,Topológiák összehasonlítása
2992527028,af,Natuurlike seleksie
2777108408,ln,sukáli
158531540,fa,چشم غیرمسلح
90690999,fa,گذرگاه (رایانه)
48580701,sw,Kifaransa
2777703250,fa,موتور شمع‌دار
2986201853,lb,Kultur
2777160814,ar,بضع المفصل
2778564397,fr,nationalisme culturel
2908981932,sk,Proteáza
2777470312,sq,Haplorrhini
2778597550,ast,Etilenu
89031862,en,transition state
3020341094,gl,Respiración pulmonar
158139659,ko,인터쿨러
2777986313,ru,Четвёртая промышленная революция
7516956,cs,Výmarská republika
2910671496,ckb,ئێچ پایلۆری
2780543182,eo,Pseudomonas putida
2911193642,ca,Penicillium italicum
2780168142,ja,小脳虫部
194409129,tl,Hematolohiya
169824061,ru,Балансовая стоимость компании
2910545032,yue,肚痾
178009071,id,fungsi trigonometrik
2992575515,uk,короткозорість
2984065012,sl,bela
2778965386,sr,Serpin
2776391228,ar,وجود الغلوبولين الكبروي بالدم
2985497411,fo,Kykna
22145727,eo,Malpiga tubo
120938966,pt,Terra Digital
2779913722,la,Stylostixis
187761678,en,Neural tissue engineering
189708586,ru,систематический обзор
162392398,vi,tập hợp hữu hạn
3017622291,ru,рак лёгкого
2778894822,nb,Tilbakeslagsventil
58693492,fr,imagerie cérébrale
142014798,nb,Termokontakt
513874922,bn,ডিজিটাল গ্রন্থাগার
2778345441,fi,ateria
12773090,ja,全体空間
207240575,nb,infralyd
147441545,ru,Группа кос
162984825,fr,forme normale des schéma de base de données
174802600,za,Cinghmoizsoq
144430266,ca,interactivitat
2994108469,fi,ensihoito
4646027,fr,loi inverse-gamma
2779425345,sr,Diaminopimelinska kiselina
547234621,bs,kalifornij
1911482,vi,giải tích thực
185265303,en,Regression dilution
47980062,hi,अश्व शक्ति
2778086318,ar,دعريات
2779838395,de,2-Acetylaminofluoren
125885647,diq,Zerduştine
2780935849,en,Mass generation
2776990098,da,misinformation
3020000481,sl,Poskusi na živalih
2992895887,crh,ruh bozğunlığı
40367706,sr,SIM
2994436531,ru,дерматоз
2909265136,wuu,1233年
502338164,scn,lituanu
2778192554,kr,Ivanović
158733187,ja,第16族元素
3019347889,pt,sistema circulatório
145366948,ml,ഓപ്പറേഷണൽ ആംപ്ലിഫയർ
2778077901,hu,Disszociatív személyiség
2781121194,ur,غشی
2910278254,af,Gastroskopie
102792161,tr,Nous
2777021777,ext,Arcobacter
2778563252,es,glucagón
2777027569,sr-ec,Тигециклин
2909403385,nl,frigide
522977591,ig,Spitzer Space Telescope
67469775,ru,Социальная динамика
2777386904,mg,Vondrom-poko
2993790278,yue,神經元
2779535233,pam,Panulu
200965112,sh,Vadi
185020521,de,Thermolysin
2777371287,de,Echte Barsche
2992686903,he,שריר חלק
186399060,ur,رسمہ
2779278059,it,rispettare
2777516300,hu,adatbányászat
2991658862,din,Adau(adiɛɛr)
2780438927,fo,Høgguslokkar
177755854,en,Coker unit
2776397665,zh,硬蜱属
555894677,cy,Lanthanwm
2776046644,cy,F5
138885662,lzh,哲學
2994049880,mn,Умард туйл
83774755,ro,Ecuația Schrödinger neliniară
102652120,de,Therapeutische Wirksamkeit
2778048899,ar,متلازمة جولدينهار
6494504,nan,Tui-chek-giâm
2992628942,uk,Насильство проти жінок
2779350439,mg,Ravintsara
2776277684,ko,규산염 광물
122123141,uk,випадкова величина
2780414609,fa,سایکوسوماتیک
2777529624,pt,glutaraldeído
2986617620,fi,Euroopan patenttivirasto
2778760044,ie,Sargassum
2779885105,eo,empatio
2779374083,en,CHAOS
61968832,gu,પશુપાલન
2779979206,io,DNA metiltransferasi
97985569,en,calculus of variations
18609725,fr,trou noir intermédiaire
65264089,en,Hebrew Bible
2776713392,nn,uvea
109111794,eo,algoritmo de Dinic
520712124,ta,வாழ்க்கை வரலாறு
2781434637,az,qırma tüfəng
2778212905,ms,Pancuran meteor
11577676,te,వర్గమూలం
2776638253,hy,Գուանոզինեռֆոսֆորական թթու (ԳԵՖ)
79990160,sd,لوڪ ناچ
2993716885,kk-cyrl,Қала халқын шетке ығыстыру
120294684,vi,Sự sống ở các ngôi sao theo trình tự chính loại K
525849907,frr,Tan
19724227,sl,Testiranja na morju
2776659728,mk,лиска
2776179656,te,కాల్షియం ఆక్సాలేట్
2777366695,de,Ankylose
155675718,frr,Dreiimpuls
2781446092,sv,Lagerstätte
2993757694,eo,raso
105824904,br,termoklin
13280743,nl,geodesie
3018608706,pt-br,Meeting place
542576722,ceb,Baryo
50929876,gu,પેટા કુટૂંબ
180260311,ro,Grăsime animală
3013748606,yo,Èràn àìtóagbóguntàrùn ènìyàn
107309635,km,លក្ខណៈសម្បត្តិនៃអ្នកដឹកនាំ
196939603,mk,меѓуѕвездена средина
20253421,hu,testbeszéd
177148314,be,абагульненне
187309904,bg,Интензитет
85520022,en,calcium channel complex
99743013,kn,ಕ್ಯೋಟೋ ಶಿಷ್ಟಾಚಾರ
3017509072,ja,絶対零度
2776893843,ko,심방중격결손
2991687758,hy,Անտարկտիկայի համաձայնագիր
2909892930,uk,Гідроксилапатит
2775935837,th,หัวใจหยุดเต้น
95570890,ia,Critica textual
28723256,en,Feedback vertex set
3019975073,zh-hans,中国大陆
2776449523,pl,Polimeraza RNA
51650839,pt,Problema do halo concentrado
2993585398,lv,cunami
150172559,ru,главное значение
2779470414,azb,قزانتین
2909599973,eu,biki
60545746,ckb,نایڵزم
3017568202,de,Informationsbedarf
67205732,ja,クライン
63029442,th,การบริหารความถี่วิทยุ
2780553977,pt,Acacia auriculiformis
2778722857,te,బత్తాయి
65559279,uk,кубічна функція
2778982882,hr,ISO 14001
2778943923,it,distrofia di Duchenne
146153142,sk,Oxfordská lingvistická filozofia
2778424726,cy,croen-galediad systemig
119104473,da,Carnot-kredsproces
54582936,pl,Fotodysocjacja
2777864028,pt,hidroterapia
2778039530,ce,NGC 224
103232671,nb,Kvadrupol-massespektrometer
2780050494,uz,Skipidar
3019900444,de,Malassimilation
2910480946,zh,失調
83009810,th,สภานิติบัญญัติ
56666940,cs,dokumentace
2780815205,en,guanfacine
2775960674,en,strontium chloride
61449547,ja,ラーメン
3018605307,az,genetik xəstəliklər
3019194835,pl,redakcja
110875604,pih,Intaneit
102715595,kk-latn,Ékologïyalıq qwıs
2993486354,my,ဝန်ကြီးချုပ်
87578298,de,Retroposon
2910905871,zh-hant,免疫缺陷
136020623,sr-el,Invazivne vrste
2909826119,fi,Mangostani
59753492,nl,arbeidswaardetheorie
2776812111,vi,Kitô hữu Do Thái
60643870,he,הרתעה
2777262023,el,Διοικητικά Δικαστήρια
85004164,ja,外傷深刻度スコア
2779321674,id,penggunaan zat adiktif
2983311337,jam,Myuuzik inschrument
121040770,fr,intrication quantique
2777305461,sv,Isoleucin
2775846362,ro,Dodecan
148292158,bn,ঘটনা দিগন্ত
2779072645,sw,Isopoda
2911222091,en,miconazole
177801218,hu,kémiai reakció
2993826840,hu,Nyelvi interferencia
2778206844,ie,Actinomyces naeslundii
2909653074,en,American eel
157479481,tt,Магнит агымы
2780412358,en,Cellobiose
123894998,zh,融合蛋白質
2992314422,mk,гроздобер
3017649214,gpe,Sri Lanka
65409693,en-ca,Statistical significance
2779915187,en,antibiotic-associated diarrhea
2776802314,se,flámagiella
87373202,de,Erstbeschreibung
75124607,nl,ondiepe fundering
2780214079,te,ముంజేయి
2984938003,ml,river pollution
2994492277,tr,Grizu patlaması
2777899904,sr-el,pluta
2779136025,mk,Чемпреси
150173356,fa,خونابه
168763156,cs,venkovské sídlo
537208039,lv,slāpeklis
90987802,zh,经颅微电流刺激疗法
2781066024,gu,આલ્કોહોલ
35532855,hr,Slobodna trgovina
180537121,af,astrofisika
49154492,ko,중앙 처리 장치
2777673923,lt,Spuogas
2778890055,en-gb,legal doctrine
14480152,de,Pinch-Effekt
2780247646,eo,natria askorbato
2992487123,zh-hant,游離輻射
505512924,el,αντικοινωνική συμπεριφορά
2780326628,nn,angioplastikk
2776879149,nn,monoteisme
3017789999,gl,Mielina
2775926321,bar,Tetramine
2993373114,smj,mánájsuodjalus
2776931407,ko,당스핑고지질
59488412,fa,تحلیل نیازمندی‌ها
154775046,gsw,Ditsch
16901944,kk,Адрестеу
3017863430,azb,اورکلیک
7927669,el,Τεταρτοταγής δομή πρωτεΐνης
118697519,bn,প্ল্যাংকের দৈর্ঘ্য
2779827044,zh-hk,痘病毒科
151746172,eo,formala potencoserio
2778717364,nan,Butane
2779562191,la,Murine leukemia virus
2777530773,zh-hans,鱼腥藻属
167204820,pl,przestrzeń jednospójna
154847795,pa,ਮਹਾਂਦੀਪੀ ਫ਼ਲਸਫ਼ਾ
2985347565,zh-hant,能源工業
2778048844,oc,malària
90080823,ko,균사
2993224921,tt-cyrl,юл
115286129,sk,Kybernetika
2781401430,bg,американски еленови мишки
119062480,nl,Golgi-apparaat
68463220,nn,Partialtrykk
2909999518,tr,mide
153457625,da,Caisson
2778653666,fa,جدایی
4445939,en-ca,Islam
540056406,tl,Holmiyo
131321042,sv,Operativ temperatur
2779277721,en,SOST
119513131,diq,Xeber
3017980623,tr,Postyapısalcı felsefe
2909303320,kw,gledh
2778770856,zh-hans,五加科
2993056352,ku,Cure
2982717780,ia,Spatio
2779950589,th,สัญญาอัจฉริยะ
2993190167,oc,Canicula
2780668109,be,апазіцыя
72041958,th,ผังงาน
2779594674,oc,Platonisme
3019775111,ru,Гемодиализ
2777181739,cs,bromid hořečnatý
9725762,nl,moderne portefeuilletheorie
33757491,uz,Diorit
2910093088,be,глюкоза
40458791,id,Teknik sistem
2776755955,yi,פענטאָבאַרביטאַל
2779756257,fa,کپک سبز سیاه
2778390639,sl,Sofosbuvir
2778977604,es,netilmicina
170552419,zh,傅里叶变换离子回旋共振质谱法
2908599536,en-ca,Ant
53565203,ar,ثراء الأنواع
24292678,ru,Реакция Виттига
3020404856,kg,Polycystic disease
31670503,ja,人格特性
2987236452,yue,航空
199879729,lmo,Cungjuunt infinii
28294206,zh-cn,次原子粒子
2992072643,ur,ہبوط ارض
2991907460,lt,estetika
1199943,de,Klassische Losformel
2778053677,fi,laidun
2778275279,he,כחליליים
166131982,sr-el,Makrospora
15055613,pt,princípio de razão suficiente
2911006864,nov,Histologia
22833228,sv,lingvistisk antropologi
138817895,en,lattice gauge theory
2777707638,sr-ec,Васкуларне биљке
91464221,eo,Efloresko
99927674,cv,Çулташ (космос)
121062744,fr,subrogation
158973077,uz,Radioaktiv izotoplar
191837563,tr,Sicim Kozmolojisi
2993356106,de,chronisches Nierenversagen
2994522178,ckb,دووچاوەکی
2778695844,lv,koprakstīšana
152442038,fr,régularisation de Tychonoff
2778439347,ms,Coccidioides immitis
2776162770,es,APOBEC
2776765990,en,peace
2779030997,nb,snutebiller
2911193946,sl,Iskanje prstnih odtisov DNA
2780368719,ko,컴퓨팅 사고
80316258,hy,Ամպրոպ
2776451536,id,Pengorbanan manusia
83864248,se,ovddidanriika
2777469381,de,Takifugu rubripes
2779729748,ru,Уанстеп
3019232848,wuu,细胞膜
2778191974,vi,Chi Mía
2779102806,nn,immunglobulin A
3019720173,ast,fiambre
2778978809,nn,levande lys
539944628,be-tarask,будаваньне супольнасьці
2779392372,ro,Eriobotrya
2778461978,bg,Левкемия
2780980858,fi,Kaksikko
2778868352,ta,பெண்மை
2775845107,hy,հողերի աղիացում
39896193,zh-hans,描述统计学
3018587741,tt,үпкә
2780010996,ar,شمرة
2985496182,kk,Профилактика - медицинада
2993322981,su,Kacang héjo
2779885280,ca,oli de soia
165136773,en,single point of failure
21031990,he,מידת הסתברות
2993196668,scn,Economic strategy
2781164615,gu,પર્યાવરણીય ન્યાય
2780873923,sq,Streptomyces griseus
3017763353,sco,lymphoma
182355939,he,היסטוריה של הכימיה
2781096931,te,హెపటైటిస్ E
2776281502,it,ganglio dorsale
2781207646,nn,arteria uterina
181912034,ca,desfosforilació
48189365,new,थेंबा
182461568,sr-ec,материјална својина
2776420598,th,ภาษาคอร์นวอลล์
501832835,sk,Britské impérium
2910317400,sr,Hidroksimetilfurfural
2778527087,fr,moyen de pression
2993039763,ru,волна
2992528526,nn,stadieinndeling av kreft
2776134702,nap,Arthropoda
178315738,ja,計量書誌学
2777803996,mn,Халим
201905106,ro,Modulație de amplitudine
2777377174,gcr,Sistèm solèr
2776807875,nl,Oogspier
501593827,ms,Antibiotik
2909759153,nb,klamydia
106387445,fi,Puoliyksinkertainen moduuli
59407501,fr,voltampère
2991720660,uz,Spektroskopiya
2780976139,sr,Amfifizin
528890316,co,Manganese
2779758542,en,eosinophilic
33277056,it,EIF4G1
35599011,cs,Glycinový receptor
2776211871,hu,kocsányos tölgy
203115093,ru,Мансардная крыша
2780789378,nan,Koaⁿ-hong gí-giân
2910115300,zh-hant,神經心理測試
2779439562,de,Anopheles sinensis
3019530640,tet,susubeen
176222170,zh-hant,計算統計學
108608090,ms,Penjara seumur hidup
2776660947,nan,Siōng-chi
2992428333,lv,skaņa
2776775011,nb,Støvsuger
2780536333,de,Pantoffeltierchen
205960476,th,ยุทธศิลป์
193874036,ur,قانون کولمب
2778399782,ru,Синаптический прунинг
58824617,pl,Dekarboksylaza aromatycznych L-aminokwasów
2777097880,zh-cn,原发性高血压
2776329913,sv,Simvastatin
93226319,sr,Диференцијал
2778235839,cs,nádorová imunologie
2778996579,ko,심근
2777197226,yue,丙炔
2776571570,en,placental site trophoblastic tumor
2991680293,wa,Agricoûteure
2781442060,de,Bendamustin
2776937108,zh-cn,挛缩
2779904274,nl,Monoïdale categorie
118776929,el,Παράγοντες νέκρωσης όγκων
2780345887,id,Ransel
2778098279,nl,Ziekte van Tay-Sachs
2778047097,cy,merch
176233148,srn,SLC6A2
157202957,de,Image Warping
2909545207,ar,لقاح الحصبة والنكاف والحصبة الألمانية
2910151965,cs,Smuteň lékařská
114461151,tr,Monoamin oksidaz A
2781422231,ar,كربيد التنجستن
170009740,eu,Ugalketa asexual
2779552062,zh,西方狍
2780120296,ro,Hidrolază
2777148325,en,ion mobility spectrometry
2781367151,sk,Rotavírus
506520463,be-tarask,Ерась
91770344,vi,Chăn thả quá mức
2780260515,it,compost di vermi
73484699,zh-tw,犯罪學
2988944679,eu,klima
37193104,zh-hans,偏利共生
54678060,ko,호지 추측
9903902,fa,دواوپس
2987494969,be-tarask,электрамабіль
81150689,nb,analysens fundamentalteorem
107218244,ba,Биосфера
2994294629,it,manodopera
78766204,sr,Вишејезгарни процесор
2777788586,sv,Hereditärt angioödem
99465377,tr,Metallik
2777648638,ca,Orthocoronavirinae
2778537702,en,Co-construction
2776607032,bg,Coxiella burnetii
2909986567,eu,dakriozistitis
2781221326,sr,Вресови
2983155866,wo,Rare earth
2779014257,uk,Природний рівень безробіття
2780534490,fa,واکنش افزایشی رادیکال آزاد
2776872704,cy,sborotrichosis
66071079,ro,Fatal
170130773,cs,použitelnost
122306262,ja,リングネットワーク
2993100942,bg,модел автомобили
125296223,ru,Стробил
2987842547,zh-cn,交通网络
2778848595,nn,Berberisfamilien
2991729501,rue,Мідь
2776985911,hy,Օլիգոդենդրոցիտ
2909265136,ba,1233 йыл
2777449187,cs,hyperventilace
2984703750,en,emergency management
175757954,eo,fotonsfero
2986477067,en-gb,Rotlicht
2778312706,ga,Podophyllum
2993975597,lv,dabas rezervāts
2780349322,ka,ცელიაკია
2780094635,ca,articulació acromioclavicular
2994115028,hu,vállalati pénzügyek
